run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
n7lambda1H2K1mu1-11-20200428-16:36:28-7019,runattr,,,configname,n7lambda1H2K1mu1,,,
n7lambda1H2K1mu1-11-20200428-16:36:28-7019,runattr,,,datetime,20200428-16:36:28,,,
n7lambda1H2K1mu1-11-20200428-16:36:28-7019,runattr,,,experiment,n7lambda1H2K1mu1,,,
n7lambda1H2K1mu1-11-20200428-16:36:28-7019,runattr,,,inifile,omnetpp.ini,,,
n7lambda1H2K1mu1-11-20200428-16:36:28-7019,runattr,,,iterationvars,,,,
n7lambda1H2K1mu1-11-20200428-16:36:28-7019,runattr,,,iterationvarsf,,,,
n7lambda1H2K1mu1-11-20200428-16:36:28-7019,runattr,,,measurement,,,,
n7lambda1H2K1mu1-11-20200428-16:36:28-7019,runattr,,,network,Network,,,
n7lambda1H2K1mu1-11-20200428-16:36:28-7019,runattr,,,processid,7019,,,
n7lambda1H2K1mu1-11-20200428-16:36:28-7019,runattr,,,repetition,11,,,
n7lambda1H2K1mu1-11-20200428-16:36:28-7019,runattr,,,replication,#11,,,
n7lambda1H2K1mu1-11-20200428-16:36:28-7019,runattr,,,resultdir,results,,,
n7lambda1H2K1mu1-11-20200428-16:36:28-7019,runattr,,,runnumber,11,,,
n7lambda1H2K1mu1-11-20200428-16:36:28-7019,runattr,,,seedset,11,,,
n7lambda1H2K1mu1-11-20200428-16:36:28-7019,param,,,Network.source.interArrivalTime,exponential(0.5s),,,
n7lambda1H2K1mu1-11-20200428-16:36:28-7019,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n7lambda1H2K1mu1-11-20200428-16:36:28-7019,param,,,Network.router.queueNumber,1,,,
n7lambda1H2K1mu1-11-20200428-16:36:28-7019,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n7lambda1H2K1mu1-11-20200428-16:36:28-7019,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n7lambda1H2K1mu1-11-20200428-16:36:28-7019,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n7lambda1H2K1mu1-11-20200428-16:36:28-7019,param,,,Network.server.checkJobDeadline,true,,,
n7lambda1H2K1mu1-0-20200428-16:36:26-6964,runattr,,,configname,n7lambda1H2K1mu1,,,
n7lambda1H2K1mu1-0-20200428-16:36:26-6964,runattr,,,datetime,20200428-16:36:26,,,
n7lambda1H2K1mu1-0-20200428-16:36:26-6964,runattr,,,experiment,n7lambda1H2K1mu1,,,
n7lambda1H2K1mu1-0-20200428-16:36:26-6964,runattr,,,inifile,omnetpp.ini,,,
n7lambda1H2K1mu1-0-20200428-16:36:26-6964,runattr,,,iterationvars,,,,
n7lambda1H2K1mu1-0-20200428-16:36:26-6964,runattr,,,iterationvarsf,,,,
n7lambda1H2K1mu1-0-20200428-16:36:26-6964,runattr,,,measurement,,,,
n7lambda1H2K1mu1-0-20200428-16:36:26-6964,runattr,,,network,Network,,,
n7lambda1H2K1mu1-0-20200428-16:36:26-6964,runattr,,,processid,6964,,,
n7lambda1H2K1mu1-0-20200428-16:36:26-6964,runattr,,,repetition,0,,,
n7lambda1H2K1mu1-0-20200428-16:36:26-6964,runattr,,,replication,#0,,,
n7lambda1H2K1mu1-0-20200428-16:36:26-6964,runattr,,,resultdir,results,,,
n7lambda1H2K1mu1-0-20200428-16:36:26-6964,runattr,,,runnumber,0,,,
n7lambda1H2K1mu1-0-20200428-16:36:26-6964,runattr,,,seedset,0,,,
n7lambda1H2K1mu1-0-20200428-16:36:26-6964,param,,,Network.source.interArrivalTime,exponential(0.5s),,,
n7lambda1H2K1mu1-0-20200428-16:36:26-6964,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n7lambda1H2K1mu1-0-20200428-16:36:26-6964,param,,,Network.router.queueNumber,1,,,
n7lambda1H2K1mu1-0-20200428-16:36:26-6964,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n7lambda1H2K1mu1-0-20200428-16:36:26-6964,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n7lambda1H2K1mu1-0-20200428-16:36:26-6964,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
