run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
n12lambda1H2K3mu2-11-20200428-16:39:17-7766,runattr,,,configname,n12lambda1H2K3mu2,,,
n12lambda1H2K3mu2-11-20200428-16:39:17-7766,runattr,,,datetime,20200428-16:39:17,,,
n12lambda1H2K3mu2-11-20200428-16:39:17-7766,runattr,,,experiment,n12lambda1H2K3mu2,,,
n12lambda1H2K3mu2-11-20200428-16:39:17-7766,runattr,,,inifile,omnetpp.ini,,,
n12lambda1H2K3mu2-11-20200428-16:39:17-7766,runattr,,,iterationvars,,,,
n12lambda1H2K3mu2-11-20200428-16:39:17-7766,runattr,,,iterationvarsf,,,,
n12lambda1H2K3mu2-11-20200428-16:39:17-7766,runattr,,,measurement,,,,
n12lambda1H2K3mu2-11-20200428-16:39:17-7766,runattr,,,network,Network,,,
n12lambda1H2K3mu2-11-20200428-16:39:17-7766,runattr,,,processid,7766,,,
n12lambda1H2K3mu2-11-20200428-16:39:17-7766,runattr,,,repetition,11,,,
n12lambda1H2K3mu2-11-20200428-16:39:17-7766,runattr,,,replication,#11,,,
n12lambda1H2K3mu2-11-20200428-16:39:17-7766,runattr,,,resultdir,results,,,
n12lambda1H2K3mu2-11-20200428-16:39:17-7766,runattr,,,runnumber,11,,,
n12lambda1H2K3mu2-11-20200428-16:39:17-7766,runattr,,,seedset,11,,,
n12lambda1H2K3mu2-11-20200428-16:39:17-7766,param,,,Network.source.interArrivalTime,exponential(0.5s),,,
n12lambda1H2K3mu2-11-20200428-16:39:17-7766,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n12lambda1H2K3mu2-11-20200428-16:39:17-7766,param,,,Network.router.queueNumber,4,,,
n12lambda1H2K3mu2-11-20200428-16:39:17-7766,param,,,Network.server.serviceTime,exponential(0.25s),,,
n12lambda1H2K3mu2-11-20200428-16:39:17-7766,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n12lambda1H2K3mu2-11-20200428-16:39:17-7766,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n12lambda1H2K3mu2-11-20200428-16:39:17-7766,param,,,Network.server.checkJobDeadline,true,,,
n12lambda1H2K3mu2-0-20200428-16:39:14-7710,runattr,,,configname,n12lambda1H2K3mu2,,,
n12lambda1H2K3mu2-0-20200428-16:39:14-7710,runattr,,,datetime,20200428-16:39:14,,,
n12lambda1H2K3mu2-0-20200428-16:39:14-7710,runattr,,,experiment,n12lambda1H2K3mu2,,,
n12lambda1H2K3mu2-0-20200428-16:39:14-7710,runattr,,,inifile,omnetpp.ini,,,
n12lambda1H2K3mu2-0-20200428-16:39:14-7710,runattr,,,iterationvars,,,,
n12lambda1H2K3mu2-0-20200428-16:39:14-7710,runattr,,,iterationvarsf,,,,
n12lambda1H2K3mu2-0-20200428-16:39:14-7710,runattr,,,measurement,,,,
n12lambda1H2K3mu2-0-20200428-16:39:14-7710,runattr,,,network,Network,,,
n12lambda1H2K3mu2-0-20200428-16:39:14-7710,runattr,,,processid,7710,,,
n12lambda1H2K3mu2-0-20200428-16:39:14-7710,runattr,,,repetition,0,,,
n12lambda1H2K3mu2-0-20200428-16:39:14-7710,runattr,,,replication,#0,,,
n12lambda1H2K3mu2-0-20200428-16:39:14-7710,runattr,,,resultdir,results,,,
n12lambda1H2K3mu2-0-20200428-16:39:14-7710,runattr,,,runnumber,0,,,
n12lambda1H2K3mu2-0-20200428-16:39:14-7710,runattr,,,seedset,0,,,
n12lambda1H2K3mu2-0-20200428-16:39:14-7710,param,,,Network.source.interArrivalTime,exponential(0.5s),,,
n12lambda1H2K3mu2-0-20200428-16:39:14-7710,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n12lambda1H2K3mu2-0-20200428-16:39:14-7710,param,,,Network.router.queueNumber,4,,,
n12lambda1H2K3mu2-0-20200428-16:39:14-7710,param,,,Network.server.serviceTime,exponential(0.25s),,,
n12lambda1H2K3mu2-0-20200428-16:39:14-7710,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n12lambda1H2K3mu2-0-20200428-16:39:14-7710,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n12lambda1H2K3mu2-0-20200428-16:39:14-7710,param,,,Network.server.checkJobDeadline,true,,,
n12lambda1H2K3mu2-10-20200428-16:39:16-7761,runattr,,,configname,n12lambda1H2K3mu2,,,
n12lambda1H2K3mu2-10-20200428-16:39:16-7761,runattr,,,datetime,20200428-16:39:16,,,
