run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
n15lambda2H1K2mu1-0-20200428-16:40:14-8169,runattr,,,configname,n15lambda2H1K2mu1,,,
n15lambda2H1K2mu1-0-20200428-16:40:14-8169,runattr,,,datetime,20200428-16:40:14,,,
n15lambda2H1K2mu1-0-20200428-16:40:14-8169,runattr,,,experiment,n15lambda2H1K2mu1,,,
n15lambda2H1K2mu1-0-20200428-16:40:14-8169,runattr,,,inifile,omnetpp.ini,,,
n15lambda2H1K2mu1-0-20200428-16:40:14-8169,runattr,,,iterationvars,,,,
n15lambda2H1K2mu1-0-20200428-16:40:14-8169,runattr,,,iterationvarsf,,,,
n15lambda2H1K2mu1-0-20200428-16:40:14-8169,runattr,,,measurement,,,,
n15lambda2H1K2mu1-0-20200428-16:40:14-8169,runattr,,,network,Network,,,
n15lambda2H1K2mu1-0-20200428-16:40:14-8169,runattr,,,processid,8169,,,
n15lambda2H1K2mu1-0-20200428-16:40:14-8169,runattr,,,repetition,0,,,
n15lambda2H1K2mu1-0-20200428-16:40:14-8169,runattr,,,replication,#0,,,
n15lambda2H1K2mu1-0-20200428-16:40:14-8169,runattr,,,resultdir,results,,,
n15lambda2H1K2mu1-0-20200428-16:40:14-8169,runattr,,,runnumber,0,,,
n15lambda2H1K2mu1-0-20200428-16:40:14-8169,runattr,,,seedset,0,,,
n15lambda2H1K2mu1-0-20200428-16:40:14-8169,param,,,Network.source.interArrivalTime,exponential(0.714285714286s),,,
n15lambda2H1K2mu1-0-20200428-16:40:14-8169,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n15lambda2H1K2mu1-0-20200428-16:40:14-8169,param,,,Network.router.queueNumber,2,,,
n15lambda2H1K2mu1-0-20200428-16:40:14-8169,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n15lambda2H1K2mu1-0-20200428-16:40:14-8169,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n15lambda2H1K2mu1-0-20200428-16:40:14-8169,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n15lambda2H1K2mu1-0-20200428-16:40:14-8169,param,,,Network.server.checkJobDeadline,true,,,
n15lambda2H1K2mu1-10-20200428-16:40:16-8219,runattr,,,configname,n15lambda2H1K2mu1,,,
n15lambda2H1K2mu1-10-20200428-16:40:16-8219,runattr,,,datetime,20200428-16:40:16,,,
n15lambda2H1K2mu1-10-20200428-16:40:16-8219,runattr,,,experiment,n15lambda2H1K2mu1,,,
n15lambda2H1K2mu1-10-20200428-16:40:16-8219,runattr,,,inifile,omnetpp.ini,,,
n15lambda2H1K2mu1-10-20200428-16:40:16-8219,runattr,,,iterationvars,,,,
n15lambda2H1K2mu1-10-20200428-16:40:16-8219,runattr,,,iterationvarsf,,,,
n15lambda2H1K2mu1-10-20200428-16:40:16-8219,runattr,,,measurement,,,,
n15lambda2H1K2mu1-10-20200428-16:40:16-8219,runattr,,,network,Network,,,
n15lambda2H1K2mu1-10-20200428-16:40:16-8219,runattr,,,processid,8219,,,
n15lambda2H1K2mu1-10-20200428-16:40:16-8219,runattr,,,repetition,10,,,
n15lambda2H1K2mu1-10-20200428-16:40:16-8219,runattr,,,replication,#10,,,
n15lambda2H1K2mu1-10-20200428-16:40:16-8219,runattr,,,resultdir,results,,,
n15lambda2H1K2mu1-10-20200428-16:40:16-8219,runattr,,,runnumber,10,,,
n15lambda2H1K2mu1-10-20200428-16:40:16-8219,runattr,,,seedset,10,,,
n15lambda2H1K2mu1-10-20200428-16:40:16-8219,param,,,Network.source.interArrivalTime,exponential(0.714285714286s),,,
n15lambda2H1K2mu1-10-20200428-16:40:16-8219,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n15lambda2H1K2mu1-10-20200428-16:40:16-8219,param,,,Network.router.queueNumber,2,,,
n15lambda2H1K2mu1-10-20200428-16:40:16-8219,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n15lambda2H1K2mu1-10-20200428-16:40:16-8219,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n15lambda2H1K2mu1-10-20200428-16:40:16-8219,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n15lambda2H1K2mu1-10-20200428-16:40:16-8219,param,,,Network.server.checkJobDeadline,true,,,
n15lambda2H1K2mu1-11-20200428-16:40:16-8224,runattr,,,configname,n15lambda2H1K2mu1,,,
n15lambda2H1K2mu1-11-20200428-16:40:16-8224,runattr,,,datetime,20200428-16:40:16,,,
n15lambda2H1K2mu1-11-20200428-16:40:16-8224,runattr,,,experiment,n15lambda2H1K2mu1,,,
n15lambda2H1K2mu1-11-20200428-16:40:16-8224,runattr,,,inifile,omnetpp.ini,,,
n15lambda2H1K2mu1-11-20200428-16:40:16-8224,runattr,,,iterationvars,,,,
n15lambda2H1K2mu1-11-20200428-16:40:16-8224,runattr,,,iterationvarsf,,,,
n15lambda2H1K2mu1-11-20200428-16:40:16-8224,runattr,,,measurement,,,,
n15lambda2H1K2mu1-11-20200428-16:40:16-8224,runattr,,,network,Network,,,
n15lambda2H1K2mu1-11-20200428-16:40:16-8224,runattr,,,processid,8224,,,
n15lambda2H1K2mu1-11-20200428-16:40:16-8224,runattr,,,repetition,11,,,
n15lambda2H1K2mu1-11-20200428-16:40:16-8224,runattr,,,replication,#11,,,
n15lambda2H1K2mu1-11-20200428-16:40:16-8224,runattr,,,resultdir,results,,,
n15lambda2H1K2mu1-11-20200428-16:40:16-8224,runattr,,,runnumber,11,,,
n15lambda2H1K2mu1-11-20200428-16:40:16-8224,runattr,,,seedset,11,,,
n15lambda2H1K2mu1-11-20200428-16:40:16-8224,param,,,Network.source.interArrivalTime,exponential(0.714285714286s),,,
n15lambda2H1K2mu1-11-20200428-16:40:16-8224,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n15lambda2H1K2mu1-11-20200428-16:40:16-8224,param,,,Network.router.queueNumber,2,,,
n15lambda2H1K2mu1-11-20200428-16:40:16-8224,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n15lambda2H1K2mu1-11-20200428-16:40:16-8224,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n15lambda2H1K2mu1-11-20200428-16:40:16-8224,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n15lambda2H1K2mu1-11-20200428-16:40:16-8224,param,,,Network.server.checkJobDeadline,true,,,
n15lambda2H1K2mu1-12-20200428-16:40:16-8229,runattr,,,configname,n15lambda2H1K2mu1,,,
n15lambda2H1K2mu1-12-20200428-16:40:16-8229,runattr,,,datetime,20200428-16:40:16,,,
n15lambda2H1K2mu1-12-20200428-16:40:16-8229,runattr,,,experiment,n15lambda2H1K2mu1,,,
n15lambda2H1K2mu1-12-20200428-16:40:16-8229,runattr,,,inifile,omnetpp.ini,,,
n15lambda2H1K2mu1-12-20200428-16:40:16-8229,runattr,,,iterationvars,,,,
n15lambda2H1K2mu1-12-20200428-16:40:16-8229,runattr,,,iterationvarsf,,,,
n15lambda2H1K2mu1-12-20200428-16:40:16-8229,runattr,,,measurement,,,,
n15lambda2H1K2mu1-12-20200428-16:40:16-8229,runattr,,,network,Network,,,
n15lambda2H1K2mu1-12-20200428-16:40:16-8229,runattr,,,processid,8229,,,
n15lambda2H1K2mu1-12-20200428-16:40:16-8229,runattr,,,repetition,12,,,
n15lambda2H1K2mu1-12-20200428-16:40:16-8229,runattr,,,replication,#12,,,
n15lambda2H1K2mu1-12-20200428-16:40:16-8229,runattr,,,resultdir,results,,,
n15lambda2H1K2mu1-12-20200428-16:40:16-8229,runattr,,,runnumber,12,,,
n15lambda2H1K2mu1-12-20200428-16:40:16-8229,runattr,,,seedset,12,,,
n15lambda2H1K2mu1-12-20200428-16:40:16-8229,param,,,Network.source.interArrivalTime,exponential(0.714285714286s),,,
n15lambda2H1K2mu1-12-20200428-16:40:16-8229,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n15lambda2H1K2mu1-12-20200428-16:40:16-8229,param,,,Network.router.queueNumber,2,,,
n15lambda2H1K2mu1-12-20200428-16:40:16-8229,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n15lambda2H1K2mu1-12-20200428-16:40:16-8229,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n15lambda2H1K2mu1-12-20200428-16:40:16-8229,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n15lambda2H1K2mu1-12-20200428-16:40:16-8229,param,,,Network.server.checkJobDeadline,true,,,
n15lambda2H1K2mu1-13-20200428-16:40:17-8234,runattr,,,configname,n15lambda2H1K2mu1,,,
