run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
n23lambda2H2K3mu1-0-20200428-16:42:56-9325,runattr,,,configname,n23lambda2H2K3mu1,,,
n23lambda2H2K3mu1-0-20200428-16:42:56-9325,runattr,,,datetime,20200428-16:42:56,,,
n23lambda2H2K3mu1-0-20200428-16:42:56-9325,runattr,,,experiment,n23lambda2H2K3mu1,,,
n23lambda2H2K3mu1-0-20200428-16:42:56-9325,runattr,,,inifile,omnetpp.ini,,,
n23lambda2H2K3mu1-0-20200428-16:42:56-9325,runattr,,,iterationvars,,,,
n23lambda2H2K3mu1-0-20200428-16:42:56-9325,runattr,,,iterationvarsf,,,,
n23lambda2H2K3mu1-0-20200428-16:42:56-9325,runattr,,,measurement,,,,
n23lambda2H2K3mu1-0-20200428-16:42:56-9325,runattr,,,network,Network,,,
n23lambda2H2K3mu1-0-20200428-16:42:56-9325,runattr,,,processid,9325,,,
n23lambda2H2K3mu1-0-20200428-16:42:56-9325,runattr,,,repetition,0,,,
n23lambda2H2K3mu1-0-20200428-16:42:56-9325,runattr,,,replication,#0,,,
n23lambda2H2K3mu1-0-20200428-16:42:56-9325,runattr,,,resultdir,results,,,
n23lambda2H2K3mu1-0-20200428-16:42:56-9325,runattr,,,runnumber,0,,,
n23lambda2H2K3mu1-0-20200428-16:42:56-9325,runattr,,,seedset,0,,,
n23lambda2H2K3mu1-0-20200428-16:42:56-9325,param,,,Network.source.interArrivalTime,exponential(0.714285714286s),,,
n23lambda2H2K3mu1-0-20200428-16:42:56-9325,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n23lambda2H2K3mu1-0-20200428-16:42:56-9325,param,,,Network.router.queueNumber,4,,,
n23lambda2H2K3mu1-0-20200428-16:42:56-9325,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n23lambda2H2K3mu1-0-20200428-16:42:56-9325,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n23lambda2H2K3mu1-0-20200428-16:42:56-9325,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n23lambda2H2K3mu1-0-20200428-16:42:56-9325,param,,,Network.server.checkJobDeadline,true,,,
n23lambda2H2K3mu1-10-20200428-16:42:58-9375,runattr,,,configname,n23lambda2H2K3mu1,,,
n23lambda2H2K3mu1-10-20200428-16:42:58-9375,runattr,,,datetime,20200428-16:42:58,,,
n23lambda2H2K3mu1-10-20200428-16:42:58-9375,runattr,,,experiment,n23lambda2H2K3mu1,,,
n23lambda2H2K3mu1-10-20200428-16:42:58-9375,runattr,,,inifile,omnetpp.ini,,,
n23lambda2H2K3mu1-10-20200428-16:42:58-9375,runattr,,,iterationvars,,,,
n23lambda2H2K3mu1-10-20200428-16:42:58-9375,runattr,,,iterationvarsf,,,,
n23lambda2H2K3mu1-10-20200428-16:42:58-9375,runattr,,,measurement,,,,
n23lambda2H2K3mu1-10-20200428-16:42:58-9375,runattr,,,network,Network,,,
n23lambda2H2K3mu1-10-20200428-16:42:58-9375,runattr,,,processid,9375,,,
