run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
n26lambda3H1K1mu2-0-20200428-16:44:37-9798,runattr,,,configname,n26lambda3H1K1mu2,,,
n26lambda3H1K1mu2-0-20200428-16:44:37-9798,runattr,,,datetime,20200428-16:44:37,,,
n26lambda3H1K1mu2-0-20200428-16:44:37-9798,runattr,,,experiment,n26lambda3H1K1mu2,,,
n26lambda3H1K1mu2-0-20200428-16:44:37-9798,runattr,,,inifile,omnetpp.ini,,,
n26lambda3H1K1mu2-0-20200428-16:44:37-9798,runattr,,,iterationvars,,,,
n26lambda3H1K1mu2-0-20200428-16:44:37-9798,runattr,,,iterationvarsf,,,,
n26lambda3H1K1mu2-0-20200428-16:44:37-9798,runattr,,,measurement,,,,
n26lambda3H1K1mu2-0-20200428-16:44:37-9798,runattr,,,network,Network,,,
n26lambda3H1K1mu2-0-20200428-16:44:37-9798,runattr,,,processid,9798,,,
n26lambda3H1K1mu2-0-20200428-16:44:37-9798,runattr,,,repetition,0,,,
n26lambda3H1K1mu2-0-20200428-16:44:37-9798,runattr,,,replication,#0,,,
n26lambda3H1K1mu2-0-20200428-16:44:37-9798,runattr,,,resultdir,results,,,
n26lambda3H1K1mu2-0-20200428-16:44:37-9798,runattr,,,runnumber,0,,,
n26lambda3H1K1mu2-0-20200428-16:44:37-9798,runattr,,,seedset,0,,,
n26lambda3H1K1mu2-0-20200428-16:44:37-9798,param,,,Network.source.interArrivalTime,exponential(0.833333333333s),,,
n26lambda3H1K1mu2-0-20200428-16:44:37-9798,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n26lambda3H1K1mu2-0-20200428-16:44:37-9798,param,,,Network.router.queueNumber,1,,,
n26lambda3H1K1mu2-0-20200428-16:44:37-9798,param,,,Network.server.serviceTime,exponential(0.25s),,,
n26lambda3H1K1mu2-0-20200428-16:44:37-9798,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n26lambda3H1K1mu2-0-20200428-16:44:37-9798,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n26lambda3H1K1mu2-0-20200428-16:44:37-9798,param,,,Network.server.checkJobDeadline,true,,,
n26lambda3H1K1mu2-10-20200428-16:44:39-9849,runattr,,,configname,n26lambda3H1K1mu2,,,
n26lambda3H1K1mu2-10-20200428-16:44:39-9849,runattr,,,datetime,20200428-16:44:39,,,
n26lambda3H1K1mu2-10-20200428-16:44:39-9849,runattr,,,experiment,n26lambda3H1K1mu2,,,
n26lambda3H1K1mu2-10-20200428-16:44:39-9849,runattr,,,inifile,omnetpp.ini,,,
n26lambda3H1K1mu2-10-20200428-16:44:39-9849,runattr,,,iterationvars,,,,
n26lambda3H1K1mu2-10-20200428-16:44:39-9849,runattr,,,iterationvarsf,,,,
