run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
n8lambda1H2K1mu2-11-20200428-16:37:15-7175,runattr,,,configname,n8lambda1H2K1mu2,,,
n8lambda1H2K1mu2-11-20200428-16:37:15-7175,runattr,,,datetime,20200428-16:37:15,,,
n8lambda1H2K1mu2-11-20200428-16:37:15-7175,runattr,,,experiment,n8lambda1H2K1mu2,,,
n8lambda1H2K1mu2-11-20200428-16:37:15-7175,runattr,,,inifile,omnetpp.ini,,,
n8lambda1H2K1mu2-11-20200428-16:37:15-7175,runattr,,,iterationvars,,,,
n8lambda1H2K1mu2-11-20200428-16:37:15-7175,runattr,,,iterationvarsf,,,,
n8lambda1H2K1mu2-11-20200428-16:37:15-7175,runattr,,,measurement,,,,
n8lambda1H2K1mu2-11-20200428-16:37:15-7175,runattr,,,network,Network,,,
n8lambda1H2K1mu2-11-20200428-16:37:15-7175,runattr,,,processid,7175,,,
n8lambda1H2K1mu2-11-20200428-16:37:15-7175,runattr,,,repetition,11,,,
n8lambda1H2K1mu2-11-20200428-16:37:15-7175,runattr,,,replication,#11,,,
n8lambda1H2K1mu2-11-20200428-16:37:15-7175,runattr,,,resultdir,results,,,
n8lambda1H2K1mu2-11-20200428-16:37:15-7175,runattr,,,runnumber,11,,,
n8lambda1H2K1mu2-11-20200428-16:37:15-7175,runattr,,,seedset,11,,,
n8lambda1H2K1mu2-11-20200428-16:37:15-7175,param,,,Network.source.interArrivalTime,exponential(0.5s),,,
n8lambda1H2K1mu2-11-20200428-16:37:15-7175,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n8lambda1H2K1mu2-11-20200428-16:37:15-7175,param,,,Network.router.queueNumber,1,,,
n8lambda1H2K1mu2-11-20200428-16:37:15-7175,param,,,Network.server.serviceTime,exponential(0.25s),,,
n8lambda1H2K1mu2-11-20200428-16:37:15-7175,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n8lambda1H2K1mu2-11-20200428-16:37:15-7175,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n8lambda1H2K1mu2-11-20200428-16:37:15-7175,param,,,Network.server.checkJobDeadline,true,,,
n8lambda1H2K1mu2-0-20200428-16:37:13-7120,runattr,,,configname,n8lambda1H2K1mu2,,,
n8lambda1H2K1mu2-0-20200428-16:37:13-7120,runattr,,,datetime,20200428-16:37:13,,,
n8lambda1H2K1mu2-0-20200428-16:37:13-7120,runattr,,,experiment,n8lambda1H2K1mu2,,,
n8lambda1H2K1mu2-0-20200428-16:37:13-7120,runattr,,,inifile,omnetpp.ini,,,
n8lambda1H2K1mu2-0-20200428-16:37:13-7120,runattr,,,iterationvars,,,,
n8lambda1H2K1mu2-0-20200428-16:37:13-7120,runattr,,,iterationvarsf,,,,
n8lambda1H2K1mu2-0-20200428-16:37:13-7120,runattr,,,measurement,,,,
n8lambda1H2K1mu2-0-20200428-16:37:13-7120,runattr,,,network,Network,,,
n8lambda1H2K1mu2-0-20200428-16:37:13-7120,runattr,,,processid,7120,,,
n8lambda1H2K1mu2-0-20200428-16:37:13-7120,runattr,,,repetition,0,,,
n8lambda1H2K1mu2-0-20200428-16:37:13-7120,runattr,,,replication,#0,,,
n8lambda1H2K1mu2-0-20200428-16:37:13-7120,runattr,,,resultdir,results,,,
n8lambda1H2K1mu2-0-20200428-16:37:13-7120,runattr,,,runnumber,0,,,
n8lambda1H2K1mu2-0-20200428-16:37:13-7120,runattr,,,seedset,0,,,
