run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
n1lambda1H1K1mu1-11-20200428-16:29:08-5959,runattr,,,configname,n1lambda1H1K1mu1,,,
n1lambda1H1K1mu1-11-20200428-16:29:08-5959,runattr,,,datetime,20200428-16:29:08,,,
n1lambda1H1K1mu1-11-20200428-16:29:08-5959,runattr,,,experiment,n1lambda1H1K1mu1,,,
n1lambda1H1K1mu1-11-20200428-16:29:08-5959,runattr,,,inifile,omnetpp.ini,,,
n1lambda1H1K1mu1-11-20200428-16:29:08-5959,runattr,,,iterationvars,,,,
n1lambda1H1K1mu1-11-20200428-16:29:08-5959,runattr,,,iterationvarsf,,,,
n1lambda1H1K1mu1-11-20200428-16:29:08-5959,runattr,,,measurement,,,,
n1lambda1H1K1mu1-11-20200428-16:29:08-5959,runattr,,,network,Network,,,
n1lambda1H1K1mu1-11-20200428-16:29:08-5959,runattr,,,processid,5959,,,
n1lambda1H1K1mu1-11-20200428-16:29:08-5959,runattr,,,repetition,11,,,
n1lambda1H1K1mu1-11-20200428-16:29:08-5959,runattr,,,replication,#11,,,
n1lambda1H1K1mu1-11-20200428-16:29:08-5959,runattr,,,resultdir,results,,,
n1lambda1H1K1mu1-11-20200428-16:29:08-5959,runattr,,,runnumber,11,,,
n1lambda1H1K1mu1-11-20200428-16:29:08-5959,runattr,,,seedset,11,,,
n1lambda1H1K1mu1-11-20200428-16:29:08-5959,param,,,Network.source.interArrivalTime,exponential(0.5s),,,
n1lambda1H1K1mu1-11-20200428-16:29:08-5959,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n1lambda1H1K1mu1-11-20200428-16:29:08-5959,param,,,Network.router.queueNumber,1,,,
n1lambda1H1K1mu1-11-20200428-16:29:08-5959,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n1lambda1H1K1mu1-11-20200428-16:29:08-5959,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n1lambda1H1K1mu1-11-20200428-16:29:08-5959,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n1lambda1H1K1mu1-11-20200428-16:29:08-5959,param,,,Network.server.checkJobDeadline,true,,,
n1lambda1H1K1mu1-0-20200428-16:29:06-5902,runattr,,,configname,n1lambda1H1K1mu1,,,
n1lambda1H1K1mu1-0-20200428-16:29:06-5902,runattr,,,datetime,20200428-16:29:06,,,
n1lambda1H1K1mu1-0-20200428-16:29:06-5902,runattr,,,experiment,n1lambda1H1K1mu1,,,
n1lambda1H1K1mu1-0-20200428-16:29:06-5902,runattr,,,inifile,omnetpp.ini,,,
n1lambda1H1K1mu1-0-20200428-16:29:06-5902,runattr,,,iterationvars,,,,
n1lambda1H1K1mu1-0-20200428-16:29:06-5902,runattr,,,iterationvarsf,,,,
n1lambda1H1K1mu1-0-20200428-16:29:06-5902,runattr,,,measurement,,,,
n1lambda1H1K1mu1-0-20200428-16:29:06-5902,runattr,,,network,Network,,,
n1lambda1H1K1mu1-0-20200428-16:29:06-5902,runattr,,,processid,5902,,,
n1lambda1H1K1mu1-0-20200428-16:29:06-5902,runattr,,,repetition,0,,,
n1lambda1H1K1mu1-0-20200428-16:29:06-5902,runattr,,,replication,#0,,,
n1lambda1H1K1mu1-0-20200428-16:29:06-5902,runattr,,,resultdir,results,,,
n1lambda1H1K1mu1-0-20200428-16:29:06-5902,runattr,,,runnumber,0,,,
n1lambda1H1K1mu1-0-20200428-16:29:06-5902,runattr,,,seedset,0,,,
n1lambda1H1K1mu1-0-20200428-16:29:06-5902,param,,,Network.source.interArrivalTime,exponential(0.5s),,,
n1lambda1H1K1mu1-0-20200428-16:29:06-5902,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n1lambda1H1K1mu1-0-20200428-16:29:06-5902,param,,,Network.router.queueNumber,1,,,
n1lambda1H1K1mu1-0-20200428-16:29:06-5902,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n1lambda1H1K1mu1-0-20200428-16:29:06-5902,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n1lambda1H1K1mu1-0-20200428-16:29:06-5902,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n1lambda1H1K1mu1-0-20200428-16:29:06-5902,param,,,Network.server.checkJobDeadline,true,,,
n1lambda1H1K1mu1-10-20200428-16:29:08-5954,runattr,,,configname,n1lambda1H1K1mu1,,,
n1lambda1H1K1mu1-10-20200428-16:29:08-5954,runattr,,,datetime,20200428-16:29:08,,,
n1lambda1H1K1mu1-10-20200428-16:29:08-5954,runattr,,,experiment,n1lambda1H1K1mu1,,,
n1lambda1H1K1mu1-10-20200428-16:29:08-5954,runattr,,,inifile,omnetpp.ini,,,
n1lambda1H1K1mu1-10-20200428-16:29:08-5954,runattr,,,iterationvars,,,,
n1lambda1H1K1mu1-10-20200428-16:29:08-5954,runattr,,,iterationvarsf,,,,
n1lambda1H1K1mu1-10-20200428-16:29:08-5954,runattr,,,measurement,,,,
n1lambda1H1K1mu1-10-20200428-16:29:08-5954,runattr,,,network,Network,,,
n1lambda1H1K1mu1-10-20200428-16:29:08-5954,runattr,,,processid,5954,,,
n1lambda1H1K1mu1-10-20200428-16:29:08-5954,runattr,,,repetition,10,,,
