run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
n48lambda4H2K3mu2-11-20200428-16:52:59-13082,runattr,,,network,Network,,,
n48lambda4H2K3mu2-11-20200428-16:52:59-13082,runattr,,,processid,13082,,,
n48lambda4H2K3mu2-11-20200428-16:52:59-13082,runattr,,,repetition,11,,,
n48lambda4H2K3mu2-11-20200428-16:52:59-13082,runattr,,,replication,#11,,,
n48lambda4H2K3mu2-11-20200428-16:52:59-13082,runattr,,,resultdir,results,,,
n48lambda4H2K3mu2-11-20200428-16:52:59-13082,runattr,,,runnumber,11,,,
n48lambda4H2K3mu2-11-20200428-16:52:59-13082,runattr,,,seedset,11,,,
n48lambda4H2K3mu2-11-20200428-16:52:59-13082,param,,,Network.source.interArrivalTime,exponential(1s),,,
n48lambda4H2K3mu2-11-20200428-16:52:59-13082,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n48lambda4H2K3mu2-11-20200428-16:52:59-13082,param,,,Network.router.queueNumber,4,,,
n48lambda4H2K3mu2-11-20200428-16:52:59-13082,param,,,Network.server.serviceTime,exponential(0.25s),,,
n48lambda4H2K3mu2-11-20200428-16:52:59-13082,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n48lambda4H2K3mu2-11-20200428-16:52:59-13082,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n48lambda4H2K3mu2-11-20200428-16:52:59-13082,param,,,Network.server.checkJobDeadline,true,,,
n48lambda4H2K3mu2-12-20200428-16:52:59-13087,runattr,,,configname,n48lambda4H2K3mu2,,,
n48lambda4H2K3mu2-12-20200428-16:52:59-13087,runattr,,,datetime,20200428-16:52:59,,,
n48lambda4H2K3mu2-12-20200428-16:52:59-13087,runattr,,,experiment,n48lambda4H2K3mu2,,,
n48lambda4H2K3mu2-12-20200428-16:52:59-13087,runattr,,,inifile,omnetpp.ini,,,
n48lambda4H2K3mu2-12-20200428-16:52:59-13087,runattr,,,iterationvars,,,,
n48lambda4H2K3mu2-12-20200428-16:52:59-13087,runattr,,,iterationvarsf,,,,
n48lambda4H2K3mu2-12-20200428-16:52:59-13087,runattr,,,measurement,,,,
n48lambda4H2K3mu2-12-20200428-16:52:59-13087,runattr,,,network,Network,,,
n48lambda4H2K3mu2-12-20200428-16:52:59-13087,runattr,,,processid,13087,,,
n48lambda4H2K3mu2-12-20200428-16:52:59-13087,runattr,,,repetition,12,,,
n48lambda4H2K3mu2-12-20200428-16:52:59-13087,runattr,,,replication,#12,,,
n48lambda4H2K3mu2-12-20200428-16:52:59-13087,runattr,,,resultdir,results,,,
n48lambda4H2K3mu2-12-20200428-16:52:59-13087,runattr,,,runnumber,12,,,
n48lambda4H2K3mu2-12-20200428-16:52:59-13087,runattr,,,seedset,12,,,
n48lambda4H2K3mu2-12-20200428-16:52:59-13087,param,,,Network.source.interArrivalTime,exponential(1s),,,
n48lambda4H2K3mu2-12-20200428-16:52:59-13087,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n48lambda4H2K3mu2-12-20200428-16:52:59-13087,param,,,Network.router.queueNumber,4,,,
n48lambda4H2K3mu2-12-20200428-16:52:59-13087,param,,,Network.server.serviceTime,exponential(0.25s),,,
n48lambda4H2K3mu2-12-20200428-16:52:59-13087,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n48lambda4H2K3mu2-12-20200428-16:52:59-13087,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n48lambda4H2K3mu2-12-20200428-16:52:59-13087,param,,,Network.server.checkJobDeadline,true,,,
n48lambda4H2K3mu2-13-20200428-16:52:59-13092,runattr,,,configname,n48lambda4H2K3mu2,,,
n48lambda4H2K3mu2-13-20200428-16:52:59-13092,runattr,,,datetime,20200428-16:52:59,,,
n48lambda4H2K3mu2-13-20200428-16:52:59-13092,runattr,,,experiment,n48lambda4H2K3mu2,,,
n48lambda4H2K3mu2-13-20200428-16:52:59-13092,runattr,,,inifile,omnetpp.ini,,,
n48lambda4H2K3mu2-13-20200428-16:52:59-13092,runattr,,,iterationvars,,,,
n48lambda4H2K3mu2-13-20200428-16:52:59-13092,runattr,,,iterationvarsf,,,,
n48lambda4H2K3mu2-13-20200428-16:52:59-13092,runattr,,,measurement,,,,
n48lambda4H2K3mu2-13-20200428-16:52:59-13092,runattr,,,network,Network,,,
n48lambda4H2K3mu2-13-20200428-16:52:59-13092,runattr,,,processid,13092,,,
n48lambda4H2K3mu2-13-20200428-16:52:59-13092,runattr,,,repetition,13,,,
n48lambda4H2K3mu2-13-20200428-16:52:59-13092,runattr,,,replication,#13,,,
n48lambda4H2K3mu2-13-20200428-16:52:59-13092,runattr,,,resultdir,results,,,
n48lambda4H2K3mu2-13-20200428-16:52:59-13092,runattr,,,runnumber,13,,,
n48lambda4H2K3mu2-13-20200428-16:52:59-13092,runattr,,,seedset,13,,,
n48lambda4H2K3mu2-13-20200428-16:52:59-13092,param,,,Network.source.interArrivalTime,exponential(1s),,,
n48lambda4H2K3mu2-13-20200428-16:52:59-13092,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
