run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
n9lambda1H2K2mu1-11-20200428-16:37:53-7323,runattr,,,configname,n9lambda1H2K2mu1,,,
n9lambda1H2K2mu1-11-20200428-16:37:53-7323,runattr,,,datetime,20200428-16:37:53,,,
n9lambda1H2K2mu1-11-20200428-16:37:53-7323,runattr,,,experiment,n9lambda1H2K2mu1,,,
n9lambda1H2K2mu1-11-20200428-16:37:53-7323,runattr,,,inifile,omnetpp.ini,,,
n9lambda1H2K2mu1-11-20200428-16:37:53-7323,runattr,,,iterationvars,,,,
n9lambda1H2K2mu1-11-20200428-16:37:53-7323,runattr,,,iterationvarsf,,,,
n9lambda1H2K2mu1-11-20200428-16:37:53-7323,runattr,,,measurement,,,,
n9lambda1H2K2mu1-11-20200428-16:37:53-7323,runattr,,,network,Network,,,
n9lambda1H2K2mu1-11-20200428-16:37:53-7323,runattr,,,processid,7323,,,
n9lambda1H2K2mu1-11-20200428-16:37:53-7323,runattr,,,repetition,11,,,
n9lambda1H2K2mu1-11-20200428-16:37:53-7323,runattr,,,replication,#11,,,
n9lambda1H2K2mu1-11-20200428-16:37:53-7323,runattr,,,resultdir,results,,,
n9lambda1H2K2mu1-11-20200428-16:37:53-7323,runattr,,,runnumber,11,,,
n9lambda1H2K2mu1-11-20200428-16:37:53-7323,runattr,,,seedset,11,,,
n9lambda1H2K2mu1-11-20200428-16:37:53-7323,param,,,Network.source.interArrivalTime,exponential(0.5s),,,
n9lambda1H2K2mu1-11-20200428-16:37:53-7323,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n9lambda1H2K2mu1-11-20200428-16:37:53-7323,param,,,Network.router.queueNumber,2,,,
n9lambda1H2K2mu1-11-20200428-16:37:53-7323,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n9lambda1H2K2mu1-11-20200428-16:37:53-7323,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n9lambda1H2K2mu1-11-20200428-16:37:53-7323,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n9lambda1H2K2mu1-11-20200428-16:37:53-7323,param,,,Network.server.checkJobDeadline,true,,,
n9lambda1H2K2mu1-0-20200428-16:37:51-7268,runattr,,,configname,n9lambda1H2K2mu1,,,
n9lambda1H2K2mu1-0-20200428-16:37:51-7268,runattr,,,datetime,20200428-16:37:51,,,
n9lambda1H2K2mu1-0-20200428-16:37:51-7268,runattr,,,experiment,n9lambda1H2K2mu1,,,
n9lambda1H2K2mu1-0-20200428-16:37:51-7268,runattr,,,inifile,omnetpp.ini,,,
n9lambda1H2K2mu1-0-20200428-16:37:51-7268,runattr,,,iterationvars,,,,
n9lambda1H2K2mu1-0-20200428-16:37:51-7268,runattr,,,iterationvarsf,,,,
n9lambda1H2K2mu1-0-20200428-16:37:51-7268,runattr,,,measurement,,,,
n9lambda1H2K2mu1-0-20200428-16:37:51-7268,runattr,,,network,Network,,,
n9lambda1H2K2mu1-0-20200428-16:37:51-7268,runattr,,,processid,7268,,,
n9lambda1H2K2mu1-0-20200428-16:37:51-7268,runattr,,,repetition,0,,,
n9lambda1H2K2mu1-0-20200428-16:37:51-7268,runattr,,,replication,#0,,,
n9lambda1H2K2mu1-0-20200428-16:37:51-7268,runattr,,,resultdir,results,,,
n9lambda1H2K2mu1-0-20200428-16:37:51-7268,runattr,,,runnumber,0,,,
n9lambda1H2K2mu1-0-20200428-16:37:51-7268,runattr,,,seedset,0,,,
n9lambda1H2K2mu1-0-20200428-16:37:51-7268,param,,,Network.source.interArrivalTime,exponential(0.5s),,,
