run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
n41lambda4H1K3mu1-0-20200428-16:50:23-12001,runattr,,,configname,n41lambda4H1K3mu1,,,
n41lambda4H1K3mu1-0-20200428-16:50:23-12001,runattr,,,datetime,20200428-16:50:23,,,
n41lambda4H1K3mu1-0-20200428-16:50:23-12001,runattr,,,experiment,n41lambda4H1K3mu1,,,
n41lambda4H1K3mu1-0-20200428-16:50:23-12001,runattr,,,inifile,omnetpp.ini,,,
n41lambda4H1K3mu1-0-20200428-16:50:23-12001,runattr,,,iterationvars,,,,
n41lambda4H1K3mu1-0-20200428-16:50:23-12001,runattr,,,iterationvarsf,,,,
n41lambda4H1K3mu1-0-20200428-16:50:23-12001,runattr,,,measurement,,,,
n41lambda4H1K3mu1-0-20200428-16:50:23-12001,runattr,,,network,Network,,,
n41lambda4H1K3mu1-0-20200428-16:50:23-12001,runattr,,,processid,12001,,,
n41lambda4H1K3mu1-0-20200428-16:50:23-12001,runattr,,,repetition,0,,,
n41lambda4H1K3mu1-0-20200428-16:50:23-12001,runattr,,,replication,#0,,,
n41lambda4H1K3mu1-0-20200428-16:50:23-12001,runattr,,,resultdir,results,,,
n41lambda4H1K3mu1-0-20200428-16:50:23-12001,runattr,,,runnumber,0,,,
n41lambda4H1K3mu1-0-20200428-16:50:23-12001,runattr,,,seedset,0,,,
n41lambda4H1K3mu1-0-20200428-16:50:23-12001,param,,,Network.source.interArrivalTime,exponential(1s),,,
n41lambda4H1K3mu1-0-20200428-16:50:23-12001,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n41lambda4H1K3mu1-0-20200428-16:50:23-12001,param,,,Network.router.queueNumber,4,,,
n41lambda4H1K3mu1-0-20200428-16:50:23-12001,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n41lambda4H1K3mu1-0-20200428-16:50:23-12001,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n41lambda4H1K3mu1-0-20200428-16:50:23-12001,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n41lambda4H1K3mu1-0-20200428-16:50:23-12001,param,,,Network.server.checkJobDeadline,true,,,
n41lambda4H1K3mu1-10-20200428-16:50:25-12051,runattr,,,configname,n41lambda4H1K3mu1,,,
n41lambda4H1K3mu1-10-20200428-16:50:25-12051,runattr,,,datetime,20200428-16:50:25,,,
n41lambda4H1K3mu1-10-20200428-16:50:25-12051,runattr,,,experiment,n41lambda4H1K3mu1,,,
n41lambda4H1K3mu1-10-20200428-16:50:25-12051,runattr,,,inifile,omnetpp.ini,,,
n41lambda4H1K3mu1-10-20200428-16:50:25-12051,runattr,,,iterationvars,,,,
n41lambda4H1K3mu1-10-20200428-16:50:25-12051,runattr,,,iterationvarsf,,,,
n41lambda4H1K3mu1-10-20200428-16:50:25-12051,runattr,,,measurement,,,,
n41lambda4H1K3mu1-10-20200428-16:50:25-12051,runattr,,,network,Network,,,
n41lambda4H1K3mu1-10-20200428-16:50:25-12051,runattr,,,processid,12051,,,
n41lambda4H1K3mu1-10-20200428-16:50:25-12051,runattr,,,repetition,10,,,
