run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
n13lambda2H1K1mu1-0-20200428-16:39:36-7882,runattr,,,configname,n13lambda2H1K1mu1,,,
n13lambda2H1K1mu1-0-20200428-16:39:36-7882,runattr,,,datetime,20200428-16:39:36,,,
n13lambda2H1K1mu1-0-20200428-16:39:36-7882,runattr,,,experiment,n13lambda2H1K1mu1,,,
n13lambda2H1K1mu1-0-20200428-16:39:36-7882,runattr,,,inifile,omnetpp.ini,,,
n13lambda2H1K1mu1-0-20200428-16:39:36-7882,runattr,,,iterationvars,,,,
n13lambda2H1K1mu1-0-20200428-16:39:36-7882,runattr,,,iterationvarsf,,,,
n13lambda2H1K1mu1-0-20200428-16:39:36-7882,runattr,,,measurement,,,,
n13lambda2H1K1mu1-0-20200428-16:39:36-7882,runattr,,,network,Network,,,
n13lambda2H1K1mu1-0-20200428-16:39:36-7882,runattr,,,processid,7882,,,
n13lambda2H1K1mu1-0-20200428-16:39:36-7882,runattr,,,repetition,0,,,
n13lambda2H1K1mu1-0-20200428-16:39:36-7882,runattr,,,replication,#0,,,
n13lambda2H1K1mu1-0-20200428-16:39:36-7882,runattr,,,resultdir,results,,,
n13lambda2H1K1mu1-0-20200428-16:39:36-7882,runattr,,,runnumber,0,,,
n13lambda2H1K1mu1-0-20200428-16:39:36-7882,runattr,,,seedset,0,,,
n13lambda2H1K1mu1-0-20200428-16:39:36-7882,param,,,Network.source.interArrivalTime,exponential(0.714285714286s),,,
n13lambda2H1K1mu1-0-20200428-16:39:36-7882,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n13lambda2H1K1mu1-0-20200428-16:39:36-7882,param,,,Network.router.queueNumber,1,,,
n13lambda2H1K1mu1-0-20200428-16:39:36-7882,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n13lambda2H1K1mu1-0-20200428-16:39:36-7882,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n13lambda2H1K1mu1-0-20200428-16:39:36-7882,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n13lambda2H1K1mu1-0-20200428-16:39:36-7882,param,,,Network.server.checkJobDeadline,true,,,
n13lambda2H1K1mu1-10-20200428-16:39:38-7932,runattr,,,configname,n13lambda2H1K1mu1,,,
n13lambda2H1K1mu1-10-20200428-16:39:38-7932,runattr,,,datetime,20200428-16:39:38,,,
n13lambda2H1K1mu1-10-20200428-16:39:38-7932,runattr,,,experiment,n13lambda2H1K1mu1,,,
n13lambda2H1K1mu1-10-20200428-16:39:38-7932,runattr,,,inifile,omnetpp.ini,,,
n13lambda2H1K1mu1-10-20200428-16:39:38-7932,runattr,,,iterationvars,,,,
n13lambda2H1K1mu1-10-20200428-16:39:38-7932,runattr,,,iterationvarsf,,,,
n13lambda2H1K1mu1-10-20200428-16:39:38-7932,runattr,,,measurement,,,,
n13lambda2H1K1mu1-10-20200428-16:39:38-7932,runattr,,,network,Network,,,
n13lambda2H1K1mu1-10-20200428-16:39:38-7932,runattr,,,processid,7932,,,
n13lambda2H1K1mu1-10-20200428-16:39:38-7932,runattr,,,repetition,10,,,
n13lambda2H1K1mu1-10-20200428-16:39:38-7932,runattr,,,replication,#10,,,
n13lambda2H1K1mu1-10-20200428-16:39:38-7932,runattr,,,resultdir,results,,,
n13lambda2H1K1mu1-10-20200428-16:39:38-7932,runattr,,,runnumber,10,,,
n13lambda2H1K1mu1-10-20200428-16:39:38-7932,runattr,,,seedset,10,,,
n13lambda2H1K1mu1-10-20200428-16:39:38-7932,param,,,Network.source.interArrivalTime,exponential(0.714285714286s),,,
n13lambda2H1K1mu1-10-20200428-16:39:38-7932,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n13lambda2H1K1mu1-10-20200428-16:39:38-7932,param,,,Network.router.queueNumber,1,,,
n13lambda2H1K1mu1-10-20200428-16:39:38-7932,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n13lambda2H1K1mu1-10-20200428-16:39:38-7932,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n13lambda2H1K1mu1-10-20200428-16:39:38-7932,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n13lambda2H1K1mu1-10-20200428-16:39:38-7932,param,,,Network.server.checkJobDeadline,true,,,
n13lambda2H1K1mu1-11-20200428-16:39:38-7937,runattr,,,configname,n13lambda2H1K1mu1,,,
n13lambda2H1K1mu1-11-20200428-16:39:38-7937,runattr,,,datetime,20200428-16:39:38,,,
n13lambda2H1K1mu1-11-20200428-16:39:38-7937,runattr,,,experiment,n13lambda2H1K1mu1,,,
n13lambda2H1K1mu1-11-20200428-16:39:38-7937,runattr,,,inifile,omnetpp.ini,,,
n13lambda2H1K1mu1-11-20200428-16:39:38-7937,runattr,,,iterationvars,,,,
n13lambda2H1K1mu1-11-20200428-16:39:38-7937,runattr,,,iterationvarsf,,,,
n13lambda2H1K1mu1-11-20200428-16:39:38-7937,runattr,,,measurement,,,,
n13lambda2H1K1mu1-11-20200428-16:39:38-7937,runattr,,,network,Network,,,
n13lambda2H1K1mu1-11-20200428-16:39:38-7937,runattr,,,processid,7937,,,
n13lambda2H1K1mu1-11-20200428-16:39:38-7937,runattr,,,repetition,11,,,
n13lambda2H1K1mu1-11-20200428-16:39:38-7937,runattr,,,replication,#11,,,
n13lambda2H1K1mu1-11-20200428-16:39:38-7937,runattr,,,resultdir,results,,,
n13lambda2H1K1mu1-11-20200428-16:39:38-7937,runattr,,,runnumber,11,,,
n13lambda2H1K1mu1-11-20200428-16:39:38-7937,runattr,,,seedset,11,,,
n13lambda2H1K1mu1-11-20200428-16:39:38-7937,param,,,Network.source.interArrivalTime,exponential(0.714285714286s),,,
n13lambda2H1K1mu1-11-20200428-16:39:38-7937,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n13lambda2H1K1mu1-11-20200428-16:39:38-7937,param,,,Network.router.queueNumber,1,,,
n13lambda2H1K1mu1-11-20200428-16:39:38-7937,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n13lambda2H1K1mu1-11-20200428-16:39:38-7937,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n13lambda2H1K1mu1-11-20200428-16:39:38-7937,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n13lambda2H1K1mu1-11-20200428-16:39:38-7937,param,,,Network.server.checkJobDeadline,true,,,
n13lambda2H1K1mu1-12-20200428-16:39:39-7942,runattr,,,configname,n13lambda2H1K1mu1,,,
n13lambda2H1K1mu1-12-20200428-16:39:39-7942,runattr,,,datetime,20200428-16:39:39,,,
n13lambda2H1K1mu1-12-20200428-16:39:39-7942,runattr,,,experiment,n13lambda2H1K1mu1,,,
n13lambda2H1K1mu1-12-20200428-16:39:39-7942,runattr,,,inifile,omnetpp.ini,,,
n13lambda2H1K1mu1-12-20200428-16:39:39-7942,runattr,,,iterationvars,,,,
n13lambda2H1K1mu1-12-20200428-16:39:39-7942,runattr,,,iterationvarsf,,,,
n13lambda2H1K1mu1-12-20200428-16:39:39-7942,runattr,,,measurement,,,,
n13lambda2H1K1mu1-12-20200428-16:39:39-7942,runattr,,,network,Network,,,
n13lambda2H1K1mu1-12-20200428-16:39:39-7942,runattr,,,processid,7942,,,
n13lambda2H1K1mu1-12-20200428-16:39:39-7942,runattr,,,repetition,12,,,
n13lambda2H1K1mu1-12-20200428-16:39:39-7942,runattr,,,replication,#12,,,
n13lambda2H1K1mu1-12-20200428-16:39:39-7942,runattr,,,resultdir,results,,,
n13lambda2H1K1mu1-12-20200428-16:39:39-7942,runattr,,,runnumber,12,,,
n13lambda2H1K1mu1-12-20200428-16:39:39-7942,runattr,,,seedset,12,,,
n13lambda2H1K1mu1-12-20200428-16:39:39-7942,param,,,Network.source.interArrivalTime,exponential(0.714285714286s),,,
n13lambda2H1K1mu1-12-20200428-16:39:39-7942,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n13lambda2H1K1mu1-12-20200428-16:39:39-7942,param,,,Network.router.queueNumber,1,,,
n13lambda2H1K1mu1-12-20200428-16:39:39-7942,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n13lambda2H1K1mu1-12-20200428-16:39:39-7942,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n13lambda2H1K1mu1-12-20200428-16:39:39-7942,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n13lambda2H1K1mu1-12-20200428-16:39:39-7942,param,,,Network.server.checkJobDeadline,true,,,
n13lambda2H1K1mu1-13-20200428-16:39:39-7947,runattr,,,configname,n13lambda2H1K1mu1,,,
n13lambda2H1K1mu1-13-20200428-16:39:39-7947,runattr,,,datetime,20200428-16:39:39,,,
n13lambda2H1K1mu1-13-20200428-16:39:39-7947,runattr,,,experiment,n13lambda2H1K1mu1,,,
n13lambda2H1K1mu1-13-20200428-16:39:39-7947,runattr,,,inifile,omnetpp.ini,,,
n13lambda2H1K1mu1-13-20200428-16:39:39-7947,runattr,,,iterationvars,,,,
n13lambda2H1K1mu1-13-20200428-16:39:39-7947,runattr,,,iterationvarsf,,,,
n13lambda2H1K1mu1-13-20200428-16:39:39-7947,runattr,,,measurement,,,,
n13lambda2H1K1mu1-13-20200428-16:39:39-7947,runattr,,,network,Network,,,
n13lambda2H1K1mu1-13-20200428-16:39:39-7947,runattr,,,processid,7947,,,
n13lambda2H1K1mu1-13-20200428-16:39:39-7947,runattr,,,repetition,13,,,
n13lambda2H1K1mu1-13-20200428-16:39:39-7947,runattr,,,replication,#13,,,
n13lambda2H1K1mu1-13-20200428-16:39:39-7947,runattr,,,resultdir,results,,,
n13lambda2H1K1mu1-13-20200428-16:39:39-7947,runattr,,,runnumber,13,,,
n13lambda2H1K1mu1-13-20200428-16:39:39-7947,runattr,,,seedset,13,,,
n13lambda2H1K1mu1-13-20200428-16:39:39-7947,param,,,Network.source.interArrivalTime,exponential(0.714285714286s),,,
n13lambda2H1K1mu1-13-20200428-16:39:39-7947,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n13lambda2H1K1mu1-13-20200428-16:39:39-7947,param,,,Network.router.queueNumber,1,,,
n13lambda2H1K1mu1-13-20200428-16:39:39-7947,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n13lambda2H1K1mu1-13-20200428-16:39:39-7947,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n13lambda2H1K1mu1-13-20200428-16:39:39-7947,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n13lambda2H1K1mu1-13-20200428-16:39:39-7947,param,,,Network.server.checkJobDeadline,true,,,
n13lambda2H1K1mu1-14-20200428-16:39:39-7952,runattr,,,configname,n13lambda2H1K1mu1,,,
n13lambda2H1K1mu1-14-20200428-16:39:39-7952,runattr,,,datetime,20200428-16:39:39,,,
n13lambda2H1K1mu1-14-20200428-16:39:39-7952,runattr,,,experiment,n13lambda2H1K1mu1,,,
n13lambda2H1K1mu1-14-20200428-16:39:39-7952,runattr,,,inifile,omnetpp.ini,,,
n13lambda2H1K1mu1-14-20200428-16:39:39-7952,runattr,,,iterationvars,,,,
n13lambda2H1K1mu1-14-20200428-16:39:39-7952,runattr,,,iterationvarsf,,,,
n13lambda2H1K1mu1-14-20200428-16:39:39-7952,runattr,,,measurement,,,,
n13lambda2H1K1mu1-14-20200428-16:39:39-7952,runattr,,,network,Network,,,
n13lambda2H1K1mu1-14-20200428-16:39:39-7952,runattr,,,processid,7952,,,
n13lambda2H1K1mu1-14-20200428-16:39:39-7952,runattr,,,repetition,14,,,
n13lambda2H1K1mu1-14-20200428-16:39:39-7952,runattr,,,replication,#14,,,
n13lambda2H1K1mu1-14-20200428-16:39:39-7952,runattr,,,resultdir,results,,,
n13lambda2H1K1mu1-14-20200428-16:39:39-7952,runattr,,,runnumber,14,,,
n13lambda2H1K1mu1-14-20200428-16:39:39-7952,runattr,,,seedset,14,,,
n13lambda2H1K1mu1-14-20200428-16:39:39-7952,param,,,Network.source.interArrivalTime,exponential(0.714285714286s),,,
n13lambda2H1K1mu1-14-20200428-16:39:39-7952,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n13lambda2H1K1mu1-14-20200428-16:39:39-7952,param,,,Network.router.queueNumber,1,,,
n13lambda2H1K1mu1-14-20200428-16:39:39-7952,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n13lambda2H1K1mu1-14-20200428-16:39:39-7952,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n13lambda2H1K1mu1-14-20200428-16:39:39-7952,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n13lambda2H1K1mu1-14-20200428-16:39:39-7952,param,,,Network.server.checkJobDeadline,true,,,
n13lambda2H1K1mu1-15-20200428-16:39:39-7957,runattr,,,configname,n13lambda2H1K1mu1,,,
n13lambda2H1K1mu1-15-20200428-16:39:39-7957,runattr,,,datetime,20200428-16:39:39,,,
n13lambda2H1K1mu1-15-20200428-16:39:39-7957,runattr,,,experiment,n13lambda2H1K1mu1,,,
n13lambda2H1K1mu1-15-20200428-16:39:39-7957,runattr,,,inifile,omnetpp.ini,,,
n13lambda2H1K1mu1-15-20200428-16:39:39-7957,runattr,,,iterationvars,,,,
n13lambda2H1K1mu1-15-20200428-16:39:39-7957,runattr,,,iterationvarsf,,,,
n13lambda2H1K1mu1-15-20200428-16:39:39-7957,runattr,,,measurement,,,,
n13lambda2H1K1mu1-15-20200428-16:39:39-7957,runattr,,,network,Network,,,
n13lambda2H1K1mu1-15-20200428-16:39:39-7957,runattr,,,processid,7957,,,
n13lambda2H1K1mu1-15-20200428-16:39:39-7957,runattr,,,repetition,15,,,
n13lambda2H1K1mu1-15-20200428-16:39:39-7957,runattr,,,replication,#15,,,
n13lambda2H1K1mu1-15-20200428-16:39:39-7957,runattr,,,resultdir,results,,,
n13lambda2H1K1mu1-15-20200428-16:39:39-7957,runattr,,,runnumber,15,,,
n13lambda2H1K1mu1-15-20200428-16:39:39-7957,runattr,,,seedset,15,,,
n13lambda2H1K1mu1-15-20200428-16:39:39-7957,param,,,Network.source.interArrivalTime,exponential(0.714285714286s),,,
n13lambda2H1K1mu1-15-20200428-16:39:39-7957,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
