run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
n3lambda1H1K2mu1-11-20200428-16:31:26-6293,runattr,,,configname,n3lambda1H1K2mu1,,,
n3lambda1H1K2mu1-11-20200428-16:31:26-6293,runattr,,,datetime,20200428-16:31:26,,,
n3lambda1H1K2mu1-11-20200428-16:31:26-6293,runattr,,,experiment,n3lambda1H1K2mu1,,,
n3lambda1H1K2mu1-11-20200428-16:31:26-6293,runattr,,,inifile,omnetpp.ini,,,
n3lambda1H1K2mu1-11-20200428-16:31:26-6293,runattr,,,iterationvars,,,,
n3lambda1H1K2mu1-11-20200428-16:31:26-6293,runattr,,,iterationvarsf,,,,
n3lambda1H1K2mu1-11-20200428-16:31:26-6293,runattr,,,measurement,,,,
n3lambda1H1K2mu1-11-20200428-16:31:26-6293,runattr,,,network,Network,,,
n3lambda1H1K2mu1-11-20200428-16:31:26-6293,runattr,,,processid,6293,,,
n3lambda1H1K2mu1-11-20200428-16:31:26-6293,runattr,,,repetition,11,,,
n3lambda1H1K2mu1-11-20200428-16:31:26-6293,runattr,,,replication,#11,,,
n3lambda1H1K2mu1-11-20200428-16:31:26-6293,runattr,,,resultdir,results,,,
n3lambda1H1K2mu1-11-20200428-16:31:26-6293,runattr,,,runnumber,11,,,
n3lambda1H1K2mu1-11-20200428-16:31:26-6293,runattr,,,seedset,11,,,
n3lambda1H1K2mu1-11-20200428-16:31:26-6293,param,,,Network.source.interArrivalTime,exponential(0.5s),,,
n3lambda1H1K2mu1-11-20200428-16:31:26-6293,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n3lambda1H1K2mu1-11-20200428-16:31:26-6293,param,,,Network.router.queueNumber,2,,,
n3lambda1H1K2mu1-11-20200428-16:31:26-6293,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n3lambda1H1K2mu1-11-20200428-16:31:26-6293,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n3lambda1H1K2mu1-11-20200428-16:31:26-6293,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n3lambda1H1K2mu1-11-20200428-16:31:26-6293,param,,,Network.server.checkJobDeadline,true,,,
n3lambda1H1K2mu1-0-20200428-16:31:24-6236,runattr,,,configname,n3lambda1H1K2mu1,,,
n3lambda1H1K2mu1-0-20200428-16:31:24-6236,runattr,,,datetime,20200428-16:31:24,,,
n3lambda1H1K2mu1-0-20200428-16:31:24-6236,runattr,,,experiment,n3lambda1H1K2mu1,,,
n3lambda1H1K2mu1-0-20200428-16:31:24-6236,runattr,,,inifile,omnetpp.ini,,,
n3lambda1H1K2mu1-0-20200428-16:31:24-6236,runattr,,,iterationvars,,,,
n3lambda1H1K2mu1-0-20200428-16:31:24-6236,runattr,,,iterationvarsf,,,,
n3lambda1H1K2mu1-0-20200428-16:31:24-6236,runattr,,,measurement,,,,
n3lambda1H1K2mu1-0-20200428-16:31:24-6236,runattr,,,network,Network,,,
n3lambda1H1K2mu1-0-20200428-16:31:24-6236,runattr,,,processid,6236,,,
n3lambda1H1K2mu1-0-20200428-16:31:24-6236,runattr,,,repetition,0,,,
n3lambda1H1K2mu1-0-20200428-16:31:24-6236,runattr,,,replication,#0,,,
n3lambda1H1K2mu1-0-20200428-16:31:24-6236,runattr,,,resultdir,results,,,
n3lambda1H1K2mu1-0-20200428-16:31:24-6236,runattr,,,runnumber,0,,,
n3lambda1H1K2mu1-0-20200428-16:31:24-6236,runattr,,,seedset,0,,,
n3lambda1H1K2mu1-0-20200428-16:31:24-6236,param,,,Network.source.interArrivalTime,exponential(0.5s),,,
n3lambda1H1K2mu1-0-20200428-16:31:24-6236,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n3lambda1H1K2mu1-0-20200428-16:31:24-6236,param,,,Network.router.queueNumber,2,,,
n3lambda1H1K2mu1-0-20200428-16:31:24-6236,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n3lambda1H1K2mu1-0-20200428-16:31:24-6236,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n3lambda1H1K2mu1-0-20200428-16:31:24-6236,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n3lambda1H1K2mu1-0-20200428-16:31:24-6236,param,,,Network.server.checkJobDeadline,true,,,
n3lambda1H1K2mu1-10-20200428-16:31:26-6288,runattr,,,configname,n3lambda1H1K2mu1,,,
n3lambda1H1K2mu1-10-20200428-16:31:26-6288,runattr,,,datetime,20200428-16:31:26,,,
n3lambda1H1K2mu1-10-20200428-16:31:26-6288,runattr,,,experiment,n3lambda1H1K2mu1,,,
n3lambda1H1K2mu1-10-20200428-16:31:26-6288,runattr,,,inifile,omnetpp.ini,,,
n3lambda1H1K2mu1-10-20200428-16:31:26-6288,runattr,,,iterationvars,,,,
