run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
n24lambda2H2K3mu2-0-20200428-16:43:17-9468,runattr,,,configname,n24lambda2H2K3mu2,,,
n24lambda2H2K3mu2-0-20200428-16:43:17-9468,runattr,,,datetime,20200428-16:43:17,,,
n24lambda2H2K3mu2-0-20200428-16:43:17-9468,runattr,,,experiment,n24lambda2H2K3mu2,,,
n24lambda2H2K3mu2-0-20200428-16:43:17-9468,runattr,,,inifile,omnetpp.ini,,,
n24lambda2H2K3mu2-0-20200428-16:43:17-9468,runattr,,,iterationvars,,,,
n24lambda2H2K3mu2-0-20200428-16:43:17-9468,runattr,,,iterationvarsf,,,,
n24lambda2H2K3mu2-0-20200428-16:43:17-9468,runattr,,,measurement,,,,
n24lambda2H2K3mu2-0-20200428-16:43:17-9468,runattr,,,network,Network,,,
n24lambda2H2K3mu2-0-20200428-16:43:17-9468,runattr,,,processid,9468,,,
n24lambda2H2K3mu2-0-20200428-16:43:17-9468,runattr,,,repetition,0,,,
n24lambda2H2K3mu2-0-20200428-16:43:17-9468,runattr,,,replication,#0,,,
n24lambda2H2K3mu2-0-20200428-16:43:17-9468,runattr,,,resultdir,results,,,
n24lambda2H2K3mu2-0-20200428-16:43:17-9468,runattr,,,runnumber,0,,,
n24lambda2H2K3mu2-0-20200428-16:43:17-9468,runattr,,,seedset,0,,,
n24lambda2H2K3mu2-0-20200428-16:43:17-9468,param,,,Network.source.interArrivalTime,exponential(0.714285714286s),,,
n24lambda2H2K3mu2-0-20200428-16:43:17-9468,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n24lambda2H2K3mu2-0-20200428-16:43:17-9468,param,,,Network.router.queueNumber,4,,,
n24lambda2H2K3mu2-0-20200428-16:43:17-9468,param,,,Network.server.serviceTime,exponential(0.25s),,,
n24lambda2H2K3mu2-0-20200428-16:43:17-9468,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n24lambda2H2K3mu2-0-20200428-16:43:17-9468,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n24lambda2H2K3mu2-0-20200428-16:43:17-9468,param,,,Network.server.checkJobDeadline,true,,,
n24lambda2H2K3mu2-10-20200428-16:43:20-9518,runattr,,,configname,n24lambda2H2K3mu2,,,
n24lambda2H2K3mu2-10-20200428-16:43:20-9518,runattr,,,datetime,20200428-16:43:20,,,
n24lambda2H2K3mu2-10-20200428-16:43:20-9518,runattr,,,experiment,n24lambda2H2K3mu2,,,
n24lambda2H2K3mu2-10-20200428-16:43:20-9518,runattr,,,inifile,omnetpp.ini,,,
n24lambda2H2K3mu2-10-20200428-16:43:20-9518,runattr,,,iterationvars,,,,
n24lambda2H2K3mu2-10-20200428-16:43:20-9518,runattr,,,iterationvarsf,,,,
n24lambda2H2K3mu2-10-20200428-16:43:20-9518,runattr,,,measurement,,,,
n24lambda2H2K3mu2-10-20200428-16:43:20-9518,runattr,,,network,Network,,,
n24lambda2H2K3mu2-10-20200428-16:43:20-9518,runattr,,,processid,9518,,,
n24lambda2H2K3mu2-10-20200428-16:43:20-9518,runattr,,,repetition,10,,,
n24lambda2H2K3mu2-10-20200428-16:43:20-9518,runattr,,,replication,#10,,,
n24lambda2H2K3mu2-10-20200428-16:43:20-9518,runattr,,,resultdir,results,,,
n24lambda2H2K3mu2-10-20200428-16:43:20-9518,runattr,,,runnumber,10,,,
n24lambda2H2K3mu2-10-20200428-16:43:20-9518,runattr,,,seedset,10,,,
n24lambda2H2K3mu2-10-20200428-16:43:20-9518,param,,,Network.source.interArrivalTime,exponential(0.714285714286s),,,
n24lambda2H2K3mu2-10-20200428-16:43:20-9518,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n24lambda2H2K3mu2-10-20200428-16:43:20-9518,param,,,Network.router.queueNumber,4,,,
n24lambda2H2K3mu2-10-20200428-16:43:20-9518,param,,,Network.server.serviceTime,exponential(0.25s),,,
n24lambda2H2K3mu2-10-20200428-16:43:20-9518,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n24lambda2H2K3mu2-10-20200428-16:43:20-9518,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n24lambda2H2K3mu2-10-20200428-16:43:20-9518,param,,,Network.server.checkJobDeadline,true,,,
n24lambda2H2K3mu2-12-20200428-16:43:20-9528,runattr,,,configname,n24lambda2H2K3mu2,,,
n24lambda2H2K3mu2-12-20200428-16:43:20-9528,runattr,,,datetime,20200428-16:43:20,,,
n24lambda2H2K3mu2-12-20200428-16:43:20-9528,runattr,,,experiment,n24lambda2H2K3mu2,,,
n24lambda2H2K3mu2-12-20200428-16:43:20-9528,runattr,,,inifile,omnetpp.ini,,,
