run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
n11lambda1H2K3mu1-11-20200428-16:38:50-7616,runattr,,,configname,n11lambda1H2K3mu1,,,
n11lambda1H2K3mu1-11-20200428-16:38:50-7616,runattr,,,datetime,20200428-16:38:50,,,
n11lambda1H2K3mu1-11-20200428-16:38:50-7616,runattr,,,experiment,n11lambda1H2K3mu1,,,
n11lambda1H2K3mu1-11-20200428-16:38:50-7616,runattr,,,inifile,omnetpp.ini,,,
n11lambda1H2K3mu1-11-20200428-16:38:50-7616,runattr,,,iterationvars,,,,
n11lambda1H2K3mu1-11-20200428-16:38:50-7616,runattr,,,iterationvarsf,,,,
n11lambda1H2K3mu1-11-20200428-16:38:50-7616,runattr,,,measurement,,,,
n11lambda1H2K3mu1-11-20200428-16:38:50-7616,runattr,,,network,Network,,,
n11lambda1H2K3mu1-11-20200428-16:38:50-7616,runattr,,,processid,7616,,,
n11lambda1H2K3mu1-11-20200428-16:38:50-7616,runattr,,,repetition,11,,,
n11lambda1H2K3mu1-11-20200428-16:38:50-7616,runattr,,,replication,#11,,,
n11lambda1H2K3mu1-11-20200428-16:38:50-7616,runattr,,,resultdir,results,,,
n11lambda1H2K3mu1-11-20200428-16:38:50-7616,runattr,,,runnumber,11,,,
n11lambda1H2K3mu1-11-20200428-16:38:50-7616,runattr,,,seedset,11,,,
n11lambda1H2K3mu1-11-20200428-16:38:50-7616,param,,,Network.source.interArrivalTime,exponential(0.5s),,,
n11lambda1H2K3mu1-11-20200428-16:38:50-7616,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n11lambda1H2K3mu1-11-20200428-16:38:50-7616,param,,,Network.router.queueNumber,4,,,
n11lambda1H2K3mu1-11-20200428-16:38:50-7616,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n11lambda1H2K3mu1-11-20200428-16:38:50-7616,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n11lambda1H2K3mu1-11-20200428-16:38:50-7616,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n11lambda1H2K3mu1-11-20200428-16:38:50-7616,param,,,Network.server.checkJobDeadline,true,,,
n11lambda1H2K3mu1-0-20200428-16:38:47-7560,runattr,,,configname,n11lambda1H2K3mu1,,,
n11lambda1H2K3mu1-0-20200428-16:38:47-7560,runattr,,,datetime,20200428-16:38:47,,,
n11lambda1H2K3mu1-0-20200428-16:38:47-7560,runattr,,,experiment,n11lambda1H2K3mu1,,,
n11lambda1H2K3mu1-0-20200428-16:38:47-7560,runattr,,,inifile,omnetpp.ini,,,
n11lambda1H2K3mu1-0-20200428-16:38:47-7560,runattr,,,iterationvars,,,,
n11lambda1H2K3mu1-0-20200428-16:38:47-7560,runattr,,,iterationvarsf,,,,
n11lambda1H2K3mu1-0-20200428-16:38:47-7560,runattr,,,measurement,,,,
n11lambda1H2K3mu1-0-20200428-16:38:47-7560,runattr,,,network,Network,,,
n11lambda1H2K3mu1-0-20200428-16:38:47-7560,runattr,,,processid,7560,,,
n11lambda1H2K3mu1-0-20200428-16:38:47-7560,runattr,,,repetition,0,,,
n11lambda1H2K3mu1-0-20200428-16:38:47-7560,runattr,,,replication,#0,,,
n11lambda1H2K3mu1-0-20200428-16:38:47-7560,runattr,,,resultdir,results,,,
n11lambda1H2K3mu1-0-20200428-16:38:47-7560,runattr,,,runnumber,0,,,
n11lambda1H2K3mu1-0-20200428-16:38:47-7560,runattr,,,seedset,0,,,
n11lambda1H2K3mu1-0-20200428-16:38:47-7560,param,,,Network.source.interArrivalTime,exponential(0.5s),,,
n11lambda1H2K3mu1-0-20200428-16:38:47-7560,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n11lambda1H2K3mu1-0-20200428-16:38:47-7560,param,,,Network.router.queueNumber,4,,,
n11lambda1H2K3mu1-0-20200428-16:38:47-7560,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n11lambda1H2K3mu1-0-20200428-16:38:47-7560,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n11lambda1H2K3mu1-0-20200428-16:38:47-7560,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
