run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
n31lambda3H2K1mu1-0-20200428-16:46:20-10522,runattr,,,configname,n31lambda3H2K1mu1,,,
n31lambda3H2K1mu1-0-20200428-16:46:20-10522,runattr,,,datetime,20200428-16:46:20,,,
n31lambda3H2K1mu1-0-20200428-16:46:20-10522,runattr,,,experiment,n31lambda3H2K1mu1,,,
n31lambda3H2K1mu1-0-20200428-16:46:20-10522,runattr,,,inifile,omnetpp.ini,,,
n31lambda3H2K1mu1-0-20200428-16:46:20-10522,runattr,,,iterationvars,,,,
n31lambda3H2K1mu1-0-20200428-16:46:20-10522,runattr,,,iterationvarsf,,,,
n31lambda3H2K1mu1-0-20200428-16:46:20-10522,runattr,,,measurement,,,,
n31lambda3H2K1mu1-0-20200428-16:46:20-10522,runattr,,,network,Network,,,
n31lambda3H2K1mu1-0-20200428-16:46:20-10522,runattr,,,processid,10522,,,
n31lambda3H2K1mu1-0-20200428-16:46:20-10522,runattr,,,repetition,0,,,
n31lambda3H2K1mu1-0-20200428-16:46:20-10522,runattr,,,replication,#0,,,
n31lambda3H2K1mu1-0-20200428-16:46:20-10522,runattr,,,resultdir,results,,,
n31lambda3H2K1mu1-0-20200428-16:46:20-10522,runattr,,,runnumber,0,,,
n31lambda3H2K1mu1-0-20200428-16:46:20-10522,runattr,,,seedset,0,,,
n31lambda3H2K1mu1-0-20200428-16:46:20-10522,param,,,Network.source.interArrivalTime,exponential(0.833333333333s),,,
n31lambda3H2K1mu1-0-20200428-16:46:20-10522,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n31lambda3H2K1mu1-0-20200428-16:46:20-10522,param,,,Network.router.queueNumber,1,,,
n31lambda3H2K1mu1-0-20200428-16:46:20-10522,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n31lambda3H2K1mu1-0-20200428-16:46:20-10522,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n31lambda3H2K1mu1-0-20200428-16:46:20-10522,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n31lambda3H2K1mu1-0-20200428-16:46:20-10522,param,,,Network.server.checkJobDeadline,true,,,
n31lambda3H2K1mu1-10-20200428-16:46:22-10573,runattr,,,configname,n31lambda3H2K1mu1,,,
n31lambda3H2K1mu1-10-20200428-16:46:22-10573,runattr,,,datetime,20200428-16:46:22,,,
n31lambda3H2K1mu1-10-20200428-16:46:22-10573,runattr,,,experiment,n31lambda3H2K1mu1,,,
n31lambda3H2K1mu1-10-20200428-16:46:22-10573,runattr,,,inifile,omnetpp.ini,,,
n31lambda3H2K1mu1-10-20200428-16:46:22-10573,runattr,,,iterationvars,,,,
n31lambda3H2K1mu1-10-20200428-16:46:22-10573,runattr,,,iterationvarsf,,,,
n31lambda3H2K1mu1-10-20200428-16:46:22-10573,runattr,,,measurement,,,,
n31lambda3H2K1mu1-10-20200428-16:46:22-10573,runattr,,,network,Network,,,
n31lambda3H2K1mu1-10-20200428-16:46:22-10573,runattr,,,processid,10573,,,
n31lambda3H2K1mu1-10-20200428-16:46:22-10573,runattr,,,repetition,10,,,
n31lambda3H2K1mu1-10-20200428-16:46:22-10573,runattr,,,replication,#10,,,
n31lambda3H2K1mu1-10-20200428-16:46:22-10573,runattr,,,resultdir,results,,,
n31lambda3H2K1mu1-10-20200428-16:46:22-10573,runattr,,,runnumber,10,,,
n31lambda3H2K1mu1-10-20200428-16:46:22-10573,runattr,,,seedset,10,,,
n31lambda3H2K1mu1-10-20200428-16:46:22-10573,param,,,Network.source.interArrivalTime,exponential(0.833333333333s),,,
n31lambda3H2K1mu1-10-20200428-16:46:22-10573,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n31lambda3H2K1mu1-10-20200428-16:46:22-10573,param,,,Network.router.queueNumber,1,,,
n31lambda3H2K1mu1-10-20200428-16:46:22-10573,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n31lambda3H2K1mu1-10-20200428-16:46:22-10573,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n31lambda3H2K1mu1-10-20200428-16:46:22-10573,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n31lambda3H2K1mu1-10-20200428-16:46:22-10573,param,,,Network.server.checkJobDeadline,true,,,
n31lambda3H2K1mu1-11-20200428-16:46:23-10578,runattr,,,configname,n31lambda3H2K1mu1,,,
n31lambda3H2K1mu1-11-20200428-16:46:23-10578,runattr,,,datetime,20200428-16:46:23,,,
n31lambda3H2K1mu1-11-20200428-16:46:23-10578,runattr,,,experiment,n31lambda3H2K1mu1,,,
n31lambda3H2K1mu1-11-20200428-16:46:23-10578,runattr,,,inifile,omnetpp.ini,,,
n31lambda3H2K1mu1-11-20200428-16:46:23-10578,runattr,,,iterationvars,,,,
n31lambda3H2K1mu1-11-20200428-16:46:23-10578,runattr,,,iterationvarsf,,,,
n31lambda3H2K1mu1-11-20200428-16:46:23-10578,runattr,,,measurement,,,,
n31lambda3H2K1mu1-11-20200428-16:46:23-10578,runattr,,,network,Network,,,
n31lambda3H2K1mu1-11-20200428-16:46:23-10578,runattr,,,processid,10578,,,
n31lambda3H2K1mu1-11-20200428-16:46:23-10578,runattr,,,repetition,11,,,
n31lambda3H2K1mu1-11-20200428-16:46:23-10578,runattr,,,replication,#11,,,
n31lambda3H2K1mu1-11-20200428-16:46:23-10578,runattr,,,resultdir,results,,,
n31lambda3H2K1mu1-11-20200428-16:46:23-10578,runattr,,,runnumber,11,,,
n31lambda3H2K1mu1-11-20200428-16:46:23-10578,runattr,,,seedset,11,,,
n31lambda3H2K1mu1-11-20200428-16:46:23-10578,param,,,Network.source.interArrivalTime,exponential(0.833333333333s),,,
n31lambda3H2K1mu1-11-20200428-16:46:23-10578,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n31lambda3H2K1mu1-11-20200428-16:46:23-10578,param,,,Network.router.queueNumber,1,,,
n31lambda3H2K1mu1-11-20200428-16:46:23-10578,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n31lambda3H2K1mu1-11-20200428-16:46:23-10578,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n31lambda3H2K1mu1-11-20200428-16:46:23-10578,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n31lambda3H2K1mu1-11-20200428-16:46:23-10578,param,,,Network.server.checkJobDeadline,true,,,
n31lambda3H2K1mu1-12-20200428-16:46:23-10583,runattr,,,configname,n31lambda3H2K1mu1,,,
n31lambda3H2K1mu1-12-20200428-16:46:23-10583,runattr,,,datetime,20200428-16:46:23,,,
n31lambda3H2K1mu1-12-20200428-16:46:23-10583,runattr,,,experiment,n31lambda3H2K1mu1,,,
n31lambda3H2K1mu1-12-20200428-16:46:23-10583,runattr,,,inifile,omnetpp.ini,,,
n31lambda3H2K1mu1-12-20200428-16:46:23-10583,runattr,,,iterationvars,,,,
n31lambda3H2K1mu1-12-20200428-16:46:23-10583,runattr,,,iterationvarsf,,,,
n31lambda3H2K1mu1-12-20200428-16:46:23-10583,runattr,,,measurement,,,,
n31lambda3H2K1mu1-12-20200428-16:46:23-10583,runattr,,,network,Network,,,
n31lambda3H2K1mu1-12-20200428-16:46:23-10583,runattr,,,processid,10583,,,
n31lambda3H2K1mu1-12-20200428-16:46:23-10583,runattr,,,repetition,12,,,
n31lambda3H2K1mu1-12-20200428-16:46:23-10583,runattr,,,replication,#12,,,
n31lambda3H2K1mu1-12-20200428-16:46:23-10583,runattr,,,resultdir,results,,,
n31lambda3H2K1mu1-12-20200428-16:46:23-10583,runattr,,,runnumber,12,,,
