run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
n5lambda1H1K3mu1-11-20200428-16:34:53-6724,runattr,,,configname,n5lambda1H1K3mu1,,,
n5lambda1H1K3mu1-11-20200428-16:34:53-6724,runattr,,,datetime,20200428-16:34:53,,,
n5lambda1H1K3mu1-11-20200428-16:34:53-6724,runattr,,,experiment,n5lambda1H1K3mu1,,,
n5lambda1H1K3mu1-11-20200428-16:34:53-6724,runattr,,,inifile,omnetpp.ini,,,
n5lambda1H1K3mu1-11-20200428-16:34:53-6724,runattr,,,iterationvars,,,,
n5lambda1H1K3mu1-11-20200428-16:34:53-6724,runattr,,,iterationvarsf,,,,
n5lambda1H1K3mu1-11-20200428-16:34:53-6724,runattr,,,measurement,,,,
n5lambda1H1K3mu1-11-20200428-16:34:53-6724,runattr,,,network,Network,,,
n5lambda1H1K3mu1-11-20200428-16:34:53-6724,runattr,,,processid,6724,,,
n5lambda1H1K3mu1-11-20200428-16:34:53-6724,runattr,,,repetition,11,,,
n5lambda1H1K3mu1-11-20200428-16:34:53-6724,runattr,,,replication,#11,,,
n5lambda1H1K3mu1-11-20200428-16:34:53-6724,runattr,,,resultdir,results,,,
n5lambda1H1K3mu1-11-20200428-16:34:53-6724,runattr,,,runnumber,11,,,
n5lambda1H1K3mu1-11-20200428-16:34:53-6724,runattr,,,seedset,11,,,
n5lambda1H1K3mu1-11-20200428-16:34:53-6724,param,,,Network.source.interArrivalTime,exponential(0.5s),,,
n5lambda1H1K3mu1-11-20200428-16:34:53-6724,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n5lambda1H1K3mu1-11-20200428-16:34:53-6724,param,,,Network.router.queueNumber,4,,,
n5lambda1H1K3mu1-11-20200428-16:34:53-6724,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n5lambda1H1K3mu1-11-20200428-16:34:53-6724,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n5lambda1H1K3mu1-11-20200428-16:34:53-6724,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n5lambda1H1K3mu1-11-20200428-16:34:53-6724,param,,,Network.server.checkJobDeadline,true,,,
n5lambda1H1K3mu1-0-20200428-16:34:50-6669,runattr,,,configname,n5lambda1H1K3mu1,,,
n5lambda1H1K3mu1-0-20200428-16:34:50-6669,runattr,,,datetime,20200428-16:34:50,,,
n5lambda1H1K3mu1-0-20200428-16:34:50-6669,runattr,,,experiment,n5lambda1H1K3mu1,,,
n5lambda1H1K3mu1-0-20200428-16:34:50-6669,runattr,,,inifile,omnetpp.ini,,,
n5lambda1H1K3mu1-0-20200428-16:34:50-6669,runattr,,,iterationvars,,,,
n5lambda1H1K3mu1-0-20200428-16:34:50-6669,runattr,,,iterationvarsf,,,,
n5lambda1H1K3mu1-0-20200428-16:34:50-6669,runattr,,,measurement,,,,
n5lambda1H1K3mu1-0-20200428-16:34:50-6669,runattr,,,network,Network,,,
n5lambda1H1K3mu1-0-20200428-16:34:50-6669,runattr,,,processid,6669,,,
n5lambda1H1K3mu1-0-20200428-16:34:50-6669,runattr,,,repetition,0,,,
n5lambda1H1K3mu1-0-20200428-16:34:50-6669,runattr,,,replication,#0,,,
n5lambda1H1K3mu1-0-20200428-16:34:50-6669,runattr,,,resultdir,results,,,
n5lambda1H1K3mu1-0-20200428-16:34:50-6669,runattr,,,runnumber,0,,,
n5lambda1H1K3mu1-0-20200428-16:34:50-6669,runattr,,,seedset,0,,,
n5lambda1H1K3mu1-0-20200428-16:34:50-6669,param,,,Network.source.interArrivalTime,exponential(0.5s),,,
n5lambda1H1K3mu1-0-20200428-16:34:50-6669,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n5lambda1H1K3mu1-0-20200428-16:34:50-6669,param,,,Network.router.queueNumber,4,,,
n5lambda1H1K3mu1-0-20200428-16:34:50-6669,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n5lambda1H1K3mu1-0-20200428-16:34:50-6669,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n5lambda1H1K3mu1-0-20200428-16:34:50-6669,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n5lambda1H1K3mu1-0-20200428-16:34:50-6669,param,,,Network.server.checkJobDeadline,true,,,
n5lambda1H1K3mu1-10-20200428-16:34:52-6719,runattr,,,configname,n5lambda1H1K3mu1,,,
n5lambda1H1K3mu1-10-20200428-16:34:52-6719,runattr,,,datetime,20200428-16:34:52,,,
n5lambda1H1K3mu1-10-20200428-16:34:52-6719,runattr,,,experiment,n5lambda1H1K3mu1,,,
n5lambda1H1K3mu1-10-20200428-16:34:52-6719,runattr,,,inifile,omnetpp.ini,,,
n5lambda1H1K3mu1-10-20200428-16:34:52-6719,runattr,,,iterationvars,,,,
n5lambda1H1K3mu1-10-20200428-16:34:52-6719,runattr,,,iterationvarsf,,,,
n5lambda1H1K3mu1-10-20200428-16:34:52-6719,runattr,,,measurement,,,,
n5lambda1H1K3mu1-10-20200428-16:34:52-6719,runattr,,,network,Network,,,
n5lambda1H1K3mu1-10-20200428-16:34:52-6719,runattr,,,processid,6719,,,
n5lambda1H1K3mu1-10-20200428-16:34:52-6719,runattr,,,repetition,10,,,
n5lambda1H1K3mu1-10-20200428-16:34:52-6719,runattr,,,replication,#10,,,
n5lambda1H1K3mu1-10-20200428-16:34:52-6719,runattr,,,resultdir,results,,,
n5lambda1H1K3mu1-10-20200428-16:34:52-6719,runattr,,,runnumber,10,,,
n5lambda1H1K3mu1-10-20200428-16:34:52-6719,runattr,,,seedset,10,,,
n5lambda1H1K3mu1-10-20200428-16:34:52-6719,param,,,Network.source.interArrivalTime,exponential(0.5s),,,
n5lambda1H1K3mu1-10-20200428-16:34:52-6719,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n5lambda1H1K3mu1-10-20200428-16:34:52-6719,param,,,Network.router.queueNumber,4,,,
n5lambda1H1K3mu1-10-20200428-16:34:52-6719,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n5lambda1H1K3mu1-10-20200428-16:34:52-6719,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n5lambda1H1K3mu1-10-20200428-16:34:52-6719,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n5lambda1H1K3mu1-10-20200428-16:34:52-6719,param,,,Network.server.checkJobDeadline,true,,,
n5lambda1H1K3mu1-12-20200428-16:34:53-6729,runattr,,,configname,n5lambda1H1K3mu1,,,
n5lambda1H1K3mu1-12-20200428-16:34:53-6729,runattr,,,datetime,20200428-16:34:53,,,
n5lambda1H1K3mu1-12-20200428-16:34:53-6729,runattr,,,experiment,n5lambda1H1K3mu1,,,
n5lambda1H1K3mu1-12-20200428-16:34:53-6729,runattr,,,inifile,omnetpp.ini,,,
n5lambda1H1K3mu1-12-20200428-16:34:53-6729,runattr,,,iterationvars,,,,
n5lambda1H1K3mu1-12-20200428-16:34:53-6729,runattr,,,iterationvarsf,,,,
n5lambda1H1K3mu1-12-20200428-16:34:53-6729,runattr,,,measurement,,,,
n5lambda1H1K3mu1-12-20200428-16:34:53-6729,runattr,,,network,Network,,,
n5lambda1H1K3mu1-12-20200428-16:34:53-6729,runattr,,,processid,6729,,,
n5lambda1H1K3mu1-12-20200428-16:34:53-6729,runattr,,,repetition,12,,,
n5lambda1H1K3mu1-12-20200428-16:34:53-6729,runattr,,,replication,#12,,,
n5lambda1H1K3mu1-12-20200428-16:34:53-6729,runattr,,,resultdir,results,,,
n5lambda1H1K3mu1-12-20200428-16:34:53-6729,runattr,,,runnumber,12,,,
n5lambda1H1K3mu1-12-20200428-16:34:53-6729,runattr,,,seedset,12,,,
n5lambda1H1K3mu1-12-20200428-16:34:53-6729,param,,,Network.source.interArrivalTime,exponential(0.5s),,,
n5lambda1H1K3mu1-12-20200428-16:34:53-6729,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n5lambda1H1K3mu1-12-20200428-16:34:53-6729,param,,,Network.router.queueNumber,4,,,
n5lambda1H1K3mu1-12-20200428-16:34:53-6729,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n5lambda1H1K3mu1-12-20200428-16:34:53-6729,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n5lambda1H1K3mu1-12-20200428-16:34:53-6729,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n5lambda1H1K3mu1-12-20200428-16:34:53-6729,param,,,Network.server.checkJobDeadline,true,,,
n5lambda1H1K3mu1-13-20200428-16:34:53-6734,runattr,,,configname,n5lambda1H1K3mu1,,,
n5lambda1H1K3mu1-13-20200428-16:34:53-6734,runattr,,,datetime,20200428-16:34:53,,,
n5lambda1H1K3mu1-13-20200428-16:34:53-6734,runattr,,,experiment,n5lambda1H1K3mu1,,,
n5lambda1H1K3mu1-13-20200428-16:34:53-6734,runattr,,,inifile,omnetpp.ini,,,
n5lambda1H1K3mu1-13-20200428-16:34:53-6734,runattr,,,iterationvars,,,,
n5lambda1H1K3mu1-13-20200428-16:34:53-6734,runattr,,,iterationvarsf,,,,
n5lambda1H1K3mu1-13-20200428-16:34:53-6734,runattr,,,measurement,,,,
n5lambda1H1K3mu1-13-20200428-16:34:53-6734,runattr,,,network,Network,,,
n5lambda1H1K3mu1-13-20200428-16:34:53-6734,runattr,,,processid,6734,,,
n5lambda1H1K3mu1-13-20200428-16:34:53-6734,runattr,,,repetition,13,,,
n5lambda1H1K3mu1-13-20200428-16:34:53-6734,runattr,,,replication,#13,,,
n5lambda1H1K3mu1-13-20200428-16:34:53-6734,runattr,,,resultdir,results,,,
n5lambda1H1K3mu1-13-20200428-16:34:53-6734,runattr,,,runnumber,13,,,
n5lambda1H1K3mu1-13-20200428-16:34:53-6734,runattr,,,seedset,13,,,
n5lambda1H1K3mu1-13-20200428-16:34:53-6734,param,,,Network.source.interArrivalTime,exponential(0.5s),,,
n5lambda1H1K3mu1-13-20200428-16:34:53-6734,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n5lambda1H1K3mu1-13-20200428-16:34:53-6734,param,,,Network.router.queueNumber,4,,,
n5lambda1H1K3mu1-13-20200428-16:34:53-6734,param,,,Network.server.serviceTime,exponential(0.333333333333s),,,
n5lambda1H1K3mu1-13-20200428-16:34:53-6734,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n5lambda1H1K3mu1-13-20200428-16:34:53-6734,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n5lambda1H1K3mu1-13-20200428-16:34:53-6734,param,,,Network.server.checkJobDeadline,true,,,
n5lambda1H1K3mu1-14-20200428-16:34:53-6739,runattr,,,configname,n5lambda1H1K3mu1,,,
n5lambda1H1K3mu1-14-20200428-16:34:53-6739,runattr,,,datetime,20200428-16:34:53,,,
n5lambda1H1K3mu1-14-20200428-16:34:53-6739,runattr,,,experiment,n5lambda1H1K3mu1,,,
n5lambda1H1K3mu1-14-20200428-16:34:53-6739,runattr,,,inifile,omnetpp.ini,,,
n5lambda1H1K3mu1-14-20200428-16:34:53-6739,runattr,,,iterationvars,,,,
n5lambda1H1K3mu1-14-20200428-16:34:53-6739,runattr,,,iterationvarsf,,,,
n5lambda1H1K3mu1-14-20200428-16:34:53-6739,runattr,,,measurement,,,,
n5lambda1H1K3mu1-14-20200428-16:34:53-6739,runattr,,,network,Network,,,
n5lambda1H1K3mu1-14-20200428-16:34:53-6739,runattr,,,processid,6739,,,
n5lambda1H1K3mu1-14-20200428-16:34:53-6739,runattr,,,repetition,14,,,
n5lambda1H1K3mu1-14-20200428-16:34:53-6739,runattr,,,replication,#14,,,
n5lambda1H1K3mu1-14-20200428-16:34:53-6739,runattr,,,resultdir,results,,,
n5lambda1H1K3mu1-14-20200428-16:34:53-6739,runattr,,,runnumber,14,,,
n5lambda1H1K3mu1-14-20200428-16:34:53-6739,runattr,,,seedset,14,,,
n5lambda1H1K3mu1-14-20200428-16:34:53-6739,param,,,Network.source.interArrivalTime,exponential(0.5s),,,
n5lambda1H1K3mu1-14-20200428-16:34:53-6739,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n5lambda1H1K3mu1-14-20200428-16:34:53-6739,param,,,Network.router.queueNumber,4,,,
