run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
n4lambda1H1K2mu2-11-20200428-16:33:51-6542,runattr,,,configname,n4lambda1H1K2mu2,,,
n4lambda1H1K2mu2-11-20200428-16:33:51-6542,runattr,,,datetime,20200428-16:33:51,,,
n4lambda1H1K2mu2-11-20200428-16:33:51-6542,runattr,,,experiment,n4lambda1H1K2mu2,,,
n4lambda1H1K2mu2-11-20200428-16:33:51-6542,runattr,,,inifile,omnetpp.ini,,,
n4lambda1H1K2mu2-11-20200428-16:33:51-6542,runattr,,,iterationvars,,,,
n4lambda1H1K2mu2-11-20200428-16:33:51-6542,runattr,,,iterationvarsf,,,,
n4lambda1H1K2mu2-11-20200428-16:33:51-6542,runattr,,,measurement,,,,
n4lambda1H1K2mu2-11-20200428-16:33:51-6542,runattr,,,network,Network,,,
n4lambda1H1K2mu2-11-20200428-16:33:51-6542,runattr,,,processid,6542,,,
n4lambda1H1K2mu2-11-20200428-16:33:51-6542,runattr,,,repetition,11,,,
n4lambda1H1K2mu2-11-20200428-16:33:51-6542,runattr,,,replication,#11,,,
n4lambda1H1K2mu2-11-20200428-16:33:51-6542,runattr,,,resultdir,results,,,
n4lambda1H1K2mu2-11-20200428-16:33:51-6542,runattr,,,runnumber,11,,,
n4lambda1H1K2mu2-11-20200428-16:33:51-6542,runattr,,,seedset,11,,,
n4lambda1H1K2mu2-11-20200428-16:33:51-6542,param,,,Network.source.interArrivalTime,exponential(0.5s),,,
n4lambda1H1K2mu2-11-20200428-16:33:51-6542,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n4lambda1H1K2mu2-11-20200428-16:33:51-6542,param,,,Network.router.queueNumber,2,,,
n4lambda1H1K2mu2-11-20200428-16:33:51-6542,param,,,Network.server.serviceTime,exponential(0.25s),,,
n4lambda1H1K2mu2-11-20200428-16:33:51-6542,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n4lambda1H1K2mu2-11-20200428-16:33:51-6542,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n4lambda1H1K2mu2-11-20200428-16:33:51-6542,param,,,Network.server.checkJobDeadline,true,,,
n4lambda1H1K2mu2-0-20200428-16:33:48-6484,runattr,,,configname,n4lambda1H1K2mu2,,,
n4lambda1H1K2mu2-0-20200428-16:33:48-6484,runattr,,,datetime,20200428-16:33:48,,,
n4lambda1H1K2mu2-0-20200428-16:33:48-6484,runattr,,,experiment,n4lambda1H1K2mu2,,,
n4lambda1H1K2mu2-0-20200428-16:33:48-6484,runattr,,,inifile,omnetpp.ini,,,
n4lambda1H1K2mu2-0-20200428-16:33:48-6484,runattr,,,iterationvars,,,,
n4lambda1H1K2mu2-0-20200428-16:33:48-6484,runattr,,,iterationvarsf,,,,
n4lambda1H1K2mu2-0-20200428-16:33:48-6484,runattr,,,measurement,,,,
n4lambda1H1K2mu2-0-20200428-16:33:48-6484,runattr,,,network,Network,,,
n4lambda1H1K2mu2-0-20200428-16:33:48-6484,runattr,,,processid,6484,,,
n4lambda1H1K2mu2-0-20200428-16:33:48-6484,runattr,,,repetition,0,,,
n4lambda1H1K2mu2-0-20200428-16:33:48-6484,runattr,,,replication,#0,,,
n4lambda1H1K2mu2-0-20200428-16:33:48-6484,runattr,,,resultdir,results,,,
n4lambda1H1K2mu2-0-20200428-16:33:48-6484,runattr,,,runnumber,0,,,
n4lambda1H1K2mu2-0-20200428-16:33:48-6484,runattr,,,seedset,0,,,
n4lambda1H1K2mu2-0-20200428-16:33:48-6484,param,,,Network.source.interArrivalTime,exponential(0.5s),,,
n4lambda1H1K2mu2-0-20200428-16:33:48-6484,param,,,Network.source.jobRelativeDeadline,"uniform(4.0s, 6.0s)",,,
n4lambda1H1K2mu2-0-20200428-16:33:48-6484,param,,,Network.router.queueNumber,2,,,
n4lambda1H1K2mu2-0-20200428-16:33:48-6484,param,,,Network.server.serviceTime,exponential(0.25s),,,
n4lambda1H1K2mu2-0-20200428-16:33:48-6484,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n4lambda1H1K2mu2-0-20200428-16:33:48-6484,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
